Unnamed: 0,FID,COMID,Name,REACHCODE,GRIDCODE,Reach_Km2,UpstrmKm2,BFI,Slope,Elevation,Solar,HiCascade,Forest,Developed,Ag,Shrub,Water,AirC,Air245mid,Air245late,Air585mid,Air585late,STpresent,ST_245mid,ST_245late,ST_585mid,ST_585late,Diff_245mi,Diff_245la,Diff_585mi,Diff585la,pred_SE,CO,CHS,BT,STW,ST_HIP_km,CO_HIP_km,CH_HIP_km,ADULTp,ADULT245m,ADULT245l,ADULT585m,ADULT585l,JUVp,JUV245m,JUV245l,JUV585m,JUV585l,BTp,BT245m,BT245l,BT585m,BT585l
225,856,23810806, ,1.71E+13,480445,0,13.83,51,0.02,53.52,-0.14,0,0.19,0.11,0.65,0.03,0.02,26.08,29.24,30.34,30.66,32.73,22.82,25.2,25.62,25.74,26.97,2.38,2.8,2.92,4.15,1.52,1,0,0,1,0,0.04,0.04,0.49,0.2,0.14,0.16,0.05,0.65,0.44,0.39,0.38,0.27,0,0,0,0,0
226,860,23810082, ,1.71E+13,480128,1.72,1.72,77,0.12,1168.94,0.76,0.81,0.7,0,0,0.3,0,22.18,22.45,23.48,23.89,26.03,10.21,11.07,11.46,11.62,12.89,0.86,1.25,1.41,2.68,2.55,0,0,0,0,0,0.09,0,0.84,0.89,0.9,0.91,0.94,0.68,0.74,0.77,0.78,0.85,0.82,0.78,0.74,0.72,0.62
227,864,23810064, ,1.71E+13,480250,0.34,20.64,80,0,994.27,-0.18,0.81,0.85,0.03,0,0.1,0.01,21.96,22.78,23.81,24.22,26.34,9.67,10.48,10.86,11.02,12.29,0.81,1.19,1.35,2.62,1.42,0,0,0,0,0,0.46,0,0.84,0.89,0.91,0.92,0.96,0.65,0.72,0.75,0.77,0.85,0.93,0.88,0.85,0.84,0.71
228,865,23810456, ,1.71E+13,480281,6.72,6.72,80.08,0.02,1103.63,0.09,0.84,0.74,0.04,0,0.22,0,21.78,23.11,24.13,24.57,26.68,9.01,9.74,10.12,10.29,11.55,0.73,1.11,1.28,2.54,2.17,0,0,0,0,0,1.53,0,0.79,0.83,0.85,0.86,0.92,0.57,0.65,0.68,0.7,0.79,0.88,0.87,0.85,0.85,0.75
229,866,23810078, ,1.71E+13,480295,1.38,8.09,80,0.01,1030.96,-0.05,0.8,0.77,0.04,0,0.19,0,21.87,22.91,23.94,24.35,26.46,9.34,10.1,10.49,10.65,11.92,0.76,1.15,1.31,2.58,2.08,0,0,0,0,0,1.07,0,0.81,0.85,0.88,0.89,0.93,0.61,0.68,0.71,0.71,0.81,0.89,0.86,0.83,0.82,0.73
230,867,23810040, ,1.71E+13,480486,0.78,7.96,79.25,0.02,1030.74,0.34,0.95,0.91,0.04,0,0.05,0,21.39,22.79,23.82,24.23,26.34,11.34,12.35,12.74,12.89,14.16,1.01,1.4,1.55,2.82,1.44,0,0,0,0,0,0.82,0,0.93,0.96,0.97,0.97,0.99,0.78,0.85,0.88,0.88,0.94,0.81,0.69,0.64,0.61,0.44
231,868,23810060, ,1.71E+13,480294,4.25,12.2,79.66,0,1059.3,0.27,0.83,0.9,0.03,0,0.05,0.02,21.34,22.84,23.87,24.29,26.39,12.11,13.2,13.59,13.75,15.01,1.09,1.48,1.64,2.9,1.33,0,0,0,0,0,1.9,0,0.96,0.98,0.98,0.99,0.98,0.84,0.91,0.92,0.93,0.97,0.72,0.56,0.52,0.5,0.34
232,871,23810436, ,1.71E+13,479666,0.1,1.13,77,0.01,1349.5,-0.47,1,0.97,0,0,0,0.03,21.24,23.57,24.54,25.01,27.14,8.92,9.64,10.02,10.18,11.45,0.72,1.1,1.26,2.53,2.51,0,0,0,0,0,0,0,0.76,0.81,0.83,0.84,0.91,0.58,0.64,0.66,0.69,0.77,0.86,0.84,0.83,0.82,0.74
233,875,23809476, ,1.71E+13,480234,4.4,49.88,78.22,0,1044.97,0.39,0.86,0.85,0.02,0,0.09,0.04,22.42,23.17,24.2,24.62,26.75,11.17,12.15,12.54,12.7,13.96,0.98,1.37,1.53,2.79,1.75,0,0,0,0,0,1.9,0,0.92,0.95,0.96,0.96,0.98,0.77,0.83,0.86,0.86,0.93,0.81,0.71,0.65,0.63,0.49
234,876,23809478, ,1.71E+13,480231,2.03,45.48,78.39,0,1035.95,-0.06,0.87,0.87,0.03,0,0.09,0.01,22.24,22.97,24,24.41,26.53,10.95,11.91,12.3,12.46,13.72,0.96,1.35,1.51,2.77,1.63,0,0,0,0,0,1.43,0,0.91,0.95,0.96,0.96,0.98,0.75,0.82,0.85,0.85,0.92,0.84,0.73,0.68,0.67,0.5
235,877,23809480, ,1.71E+13,480340,0.3,16.07,79.99,0,991.44,0.05,0.94,0.9,0.03,0,0.07,0,21.52,22.78,23.81,24.22,26.34,11.77,12.82,13.22,13.37,14.63,1.05,1.45,1.6,2.86,1.76,0,0,0,0,0,0.52,0,0.94,0.97,0.97,0.97,0.98,0.81,0.88,0.9,0.9,0.95,0.74,0.62,0.57,0.55,0.4
236,878,23809486, ,1.71E+13,480288,0.51,16.03,79.63,0,991.66,-0.01,0.71,0.84,0.02,0,0.11,0.03,22.43,22.93,23.95,24.36,26.51,11.09,12.07,12.46,12.62,13.88,0.98,1.37,1.53,2.79,2.37,0,0,0,0,0,1.23,0,0.89,0.93,0.94,0.94,0.96,0.75,0.82,0.83,0.85,0.91,0.77,0.7,0.64,0.65,0.49
237,879,23810066, ,1.71E+13,480393,6.74,27.38,80,0,1052.37,-0.17,0.84,0.86,0.03,0,0.1,0.01,22.28,23.16,24.19,24.61,26.74,9.24,9.99,10.38,10.54,11.81,0.75,1.14,1.3,2.57,1.38,0,0,0,0,0,1.02,0,0.82,0.87,0.89,0.9,0.95,0.61,0.67,0.71,0.72,0.82,0.94,0.92,0.89,0.89,0.76
238,880,23810086, ,1.71E+13,480359,0.57,2.29,77.66,0,988.09,0.11,0.66,0.58,0,0,0.23,0.19,22.43,23.04,24.07,24.48,26.62,12.15,13.25,13.65,13.8,15.06,1.1,1.5,1.65,2.91,2.74,0,0,0,0,0,0.89,0,0.92,0.95,0.95,0.95,0.95,0.8,0.86,0.88,0.89,0.93,0.66,0.56,0.54,0.5,0.37
239,884,23810788, ,1.71E+13,480221,0.01,10.27,77,0.03,652.06,-0.75,0,0.95,0.01,0,0.04,0,22.96,23.84,24.87,25.26,27.43,15.28,16.49,16.89,17.03,18.29,1.21,1.61,1.75,3.01,2.12,0,0,0,0,0,0,0,0.96,0.94,0.92,0.92,0.85,0.95,0.96,0.96,0.95,0.93,0.34,0.24,0.19,0.2,0.1
240,886,947090034, ,1.71E+13,480424,0.11,3.58,72.3,0,465.9,0.08,0,0.86,0.03,0,0.09,0.02,23.89,24.55,25.6,25.99,28.11,16.57,18.2,18.6,18.74,19.99,1.63,2.03,2.17,3.42,2.5,0,0,0,0,0,0.23,0,0.93,0.86,0.84,0.82,0.74,0.94,0.91,0.9,0.89,0.85,0.22,0.12,0.1,0.1,0.06
241,887,947090035, ,1.71E+13,480237,0.29,3.87,72.3,0.09,447.75,0.14,0,0.86,0.04,0,0.09,0.02,23.89,24.55,25.6,25.99,28.11,15.48,16.98,17.38,17.53,18.78,1.5,1.9,2.05,3.3,2.45,0,0,0,0,0,0,0,0.95,0.9,0.89,0.89,0.81,0.95,0.94,0.94,0.94,0.9,0.33,0.19,0.17,0.15,0.1
242,808,23810652,Alice Creek,1.71E+13,480099,3.5,3.5,64,0.18,1001.13,0.05,0,1,0,0,0,0,23.44,23.82,24.79,25.16,27.26,13.83,15.13,15.53,15.68,16.93,1.3,1.7,1.85,3.1,2.46,0,0,0,0,0.75,0,0,0.96,0.95,0.95,0.94,0.91,0.9,0.94,0.94,0.94,0.95,0.5,0.38,0.31,0.3,0.19
243,833,23810706,Anvil Creek,1.71E+13,480441,11.04,11.04,75.94,0.06,1159.91,0.28,0.3,0.93,0,0,0.06,0,21.57,22.99,24.02,24.42,26.57,14.33,15.69,16.09,16.23,17.49,1.36,1.76,1.9,3.16,1.63,0,0,0,0,2.11,0.86,0,0.98,0.97,0.96,0.95,0.91,0.94,0.97,0.97,0.98,0.96,0.44,0.28,0.23,0.23,0.13
244,738,23810508,Bargfeld Creek,1.71E+13,480120,0.68,7.12,50.07,0.01,127.32,-0.14,0,0.53,0.05,0.29,0.11,0.01,26.04,29.28,30.33,30.64,32.63,21.79,24.05,24.47,24.59,25.82,2.26,2.68,2.8,4.03,2.44,1,0,0,1,0,0.79,0,0.58,0.35,0.31,0.28,0.17,0.72,0.53,0.49,0.49,0.38,0.02,0.01,0,0,0
245,739,23810510,Bargfeld Creek,1.71E+13,480390,4.55,4.55,50.59,0.03,183.9,-0.08,0,0.49,0.04,0.37,0.09,0.01,25.91,28.72,29.81,30.12,32.17,21.22,23.41,23.83,23.95,25.18,2.19,2.61,2.73,3.96,2.46,1,0,0,1,0.55,1,0,0.63,0.42,0.38,0.35,0.24,0.77,0.59,0.55,0.54,0.43,0.03,0.01,0.01,0,0
246,326,23809610,Battle Creek,1.71E+13,479403,0.38,26.84,67.75,0.02,915.26,0.49,0.05,0.72,0,0,0.28,0,22.43,23.56,24.53,24.94,27.05,15.69,17.21,17.62,17.76,19.01,1.52,1.93,2.07,3.32,1.62,0,0,0,0,0.68,0,0,0.97,0.92,0.9,0.9,0.83,0.98,0.97,0.96,0.96,0.91,0.28,0.15,0.13,0.12,0.06
247,327,23809612,Battle Creek,1.71E+13,479739,0.17,17.14,66.56,0.02,952.81,-0.69,0.08,0.68,0,0,0.31,0.01,22.48,23.56,24.53,24.94,27.05,15.75,17.29,17.69,17.83,19.08,1.54,1.94,2.08,3.33,1.57,0,0,0,0,0.38,0,0,0.97,0.92,0.9,0.89,0.82,0.97,0.97,0.96,0.96,0.92,0.27,0.14,0.12,0.11,0.06
248,328,23809614,Battle Creek,1.71E+13,479880,8.83,15.55,63.98,0.03,1185.5,0,0.08,0.72,0,0,0.27,0.01,22.01,23.33,24.3,24.7,26.8,15.18,16.65,17.05,17.19,18.44,1.47,1.87,2.01,3.26,1.44,0,0,0,0,1.6,1.58,0,0.98,0.95,0.93,0.93,0.87,0.97,0.98,0.98,0.97,0.94,0.33,0.19,0.16,0.14,0.08
249,329,23809616,Battle Creek,1.71E+13,479808,4.41,4.41,61.14,0.1,1273.11,-0.3,0.24,0.95,0,0,0.05,0,21.84,23.07,24.04,24.42,26.51,13.07,14.28,14.68,14.83,16.09,1.21,1.61,1.76,3.02,2.04,0,0,0,0,0.06,0.01,0,0.96,0.97,0.97,0.97,0.95,0.88,0.93,0.94,0.95,0.96,0.59,0.44,0.39,0.39,0.26
250,330,23809618,Bear Creek,1.71E+13,479614,10.69,10.69,52.62,0.04,405.39,0.1,0,0.53,0.05,0.13,0.29,0,24.03,27.3,28.4,28.74,30.85,20.32,22.4,22.81,22.94,24.18,2.08,2.49,2.62,3.86,2.2,1,0,0,1,4.12,0.89,1.39,0.72,0.52,0.48,0.48,0.33,0.83,0.67,0.63,0.63,0.52,0.04,0.01,0.01,0.01,0
251,733,23810498,Bedford Creek,1.71E+13,480258,7.8,7.8,60.77,0.07,715.57,-0.03,0,0.8,0,0,0.2,0,21.85,25.83,26.94,27.28,29.43,16.1,17.67,18.07,18.21,19.46,1.57,1.97,2.11,3.36,1.84,0,0,0,0,3.74,0,0,0.95,0.9,0.88,0.87,0.79,0.97,0.95,0.94,0.94,0.88,0.25,0.13,0.11,0.1,0.05
252,732,23810496,Bee Creek,1.71E+13,480306,8.39,8.39,59.86,0.07,647.73,-0.03,0,0.56,0,0,0.44,0,22.35,26.06,27.17,27.51,29.67,17.41,19.14,19.55,19.69,20.93,1.73,2.14,2.28,3.52,2.39,0,0,0,0,4.42,0,0,0.89,0.8,0.77,0.76,0.66,0.94,0.89,0.87,0.86,0.78,0.16,0.08,0.06,0.06,0.04
253,225,23809380,Berry Creek,1.71E+13,479925,0,21.69,73,0.36,926.13,0.02,0.01,0.83,0.01,0,0.16,0,22.24,24.33,25.31,25.78,27.94,13.24,14.48,14.87,15.02,16.28,1.24,1.63,1.78,3.04,1.42,1,0,0,1,0,0.03,0,0.98,0.99,0.98,0.98,0.96,0.9,0.95,0.97,0.97,0.98,0.57,0.41,0.36,0.35,0.21
254,226,23809382,Berry Creek,1.71E+13,479556,2.41,18.95,72.99,0.02,1020.15,-0.13,0.01,0.83,0.01,0,0.15,0,22.65,24.33,25.31,25.78,27.94,12.34,13.47,13.86,14.01,15.27,1.13,1.52,1.67,2.93,1.51,1,0,1,1,0.66,0.97,1.3,0.96,0.98,0.98,0.98,0.98,0.85,0.92,0.93,0.94,0.97,0.69,0.53,0.49,0.47,0.31
255,227,23809384,Berry Creek,1.71E+13,479869,2.16,11.93,72.45,0.02,1104.22,-0.21,0,0.86,0.02,0,0.12,0,22.69,24.12,25.11,25.58,27.74,10.92,11.87,12.26,12.42,13.68,0.95,1.34,1.5,2.76,1.38,0,0,1,1,0.36,0.85,0.78,0.91,0.95,0.96,0.96,0.98,0.76,0.82,0.85,0.86,0.92,0.85,0.75,0.7,0.67,0.51
256,228,23809386,Berry Creek,1.71E+13,479596,0.54,7.96,72,0.05,1060.07,-0.35,0,0.92,0.02,0,0.06,0,22.69,23.88,24.86,25.33,27.48,11.19,12.18,12.57,12.72,13.98,0.99,1.38,1.53,2.79,1.24,0,0,0,1,0,0.08,0.11,0.93,0.96,0.97,0.97,0.99,0.78,0.85,0.87,0.88,0.94,0.83,0.71,0.65,0.65,0.47
257,229,23809388,Berry Creek,1.71E+13,479396,3.49,4.53,72.52,0.1,1215.83,-0.27,0,0.9,0.03,0,0.07,0,22.53,25.74,26.72,27.19,29.33,10.75,11.68,12.07,12.23,13.49,0.93,1.32,1.48,2.74,1.3,0,0,0,1,0,0,0,0.9,0.95,0.96,0.96,0.98,0.75,0.81,0.84,0.85,0.92,0.87,0.78,0.73,0.7,0.53
258,230,23809390,Berry Creek,1.71E+13,479788,1.05,1.05,73.69,0.21,1351.08,-0.6,0,0.95,0,0,0.04,0,23.12,25.93,26.9,27.38,29.52,9.33,10.09,10.47,10.64,11.9,0.76,1.14,1.31,2.57,1.35,0,0,0,0,0,0,0,0.83,0.87,0.89,0.9,0.95,0.62,0.69,0.72,0.73,0.83,0.94,0.92,0.9,0.88,0.74
259,331,23809620,Big Creek,1.71E+13,479899,9.08,9.08,67.87,0.09,843.68,0.08,0,0.94,0,0,0.06,0,23.04,23.83,24.88,25.25,27.37,14.44,15.82,16.22,16.36,17.62,1.38,1.78,1.92,3.18,1.71,0,0,0,1,1.4,0,0,0.98,0.96,0.96,0.95,0.9,0.95,0.97,0.98,0.97,0.96,0.41,0.27,0.23,0.21,0.12
260,332,23809622,Blister Creek,1.71E+13,479689,2.21,13.46,65.88,0.06,809.42,0.27,0,0.85,0,0,0.15,0,24.1,23.53,24.53,24.89,26.98,17,18.68,19.08,19.22,20.47,1.68,2.08,2.22,3.47,1.5,0,0,0,0,1.42,0,0.06,0.93,0.85,0.83,0.82,0.72,0.98,0.93,0.91,0.9,0.83,0.16,0.07,0.06,0.05,0.02
261,333,23809624,Blister Creek,1.71E+13,479884,0.34,8.16,66.47,0.09,846.06,0.36,0,0.81,0,0,0.19,0,24.11,22.98,23.98,24.33,26.41,16.3,17.9,18.31,18.45,19.69,1.6,2.01,2.15,3.39,1.33,0,0,0,0,0.12,0,0,0.96,0.9,0.87,0.87,0.78,0.98,0.96,0.95,0.94,0.89,0.22,0.1,0.08,0.08,0.04
262,334,23809626,Blister Creek,1.71E+13,479397,3.51,3.51,65.81,0.12,1129.7,0.19,0,0.86,0,0,0.13,0,21.56,22.82,23.83,24.18,26.25,13.95,15.27,15.67,15.81,17.07,1.32,1.72,1.86,3.12,1.81,0,0,0,0,0.49,0,0,0.98,0.97,0.96,0.97,0.92,0.92,0.96,0.97,0.97,0.96,0.48,0.33,0.28,0.27,0.16
263,649,23810306,Blitzen Creek,1.71E+13,479946,2.54,2.54,70.28,0.14,1037.28,0.14,0,0.94,0,0,0.06,0,23.68,23.96,24.96,25.38,27.54,13.65,14.93,15.33,15.48,16.73,1.28,1.68,1.83,3.08,2.49,0,0,0,0,0,0,0,0.95,0.96,0.95,0.95,0.92,0.89,0.93,0.94,0.95,0.95,0.52,0.38,0.34,0.31,0.23
264,617,23810240,Bonner Creek,1.71E+13,480041,1.69,1.69,74.8,0.17,893.55,0.34,0,0.9,0.01,0,0.09,0,24.18,24.77,25.77,26.19,28.35,11.76,12.81,13.21,13.36,14.62,1.05,1.45,1.6,2.86,2.43,0,0,0,0,0,0,0,0.92,0.94,0.96,0.95,0.96,0.81,0.85,0.88,0.89,0.93,0.72,0.62,0.57,0.54,0.41
265,736,23810504,Boyer Creek,1.71E+13,480287,3.88,13.26,65.73,0.03,768.07,-0.07,0,1,0,0,0,0,21.04,25.47,26.55,26.91,29.04,15.04,16.49,16.89,17.04,18.29,1.45,1.85,2,3.25,1.84,0,0,0,0,3.59,0.09,0,0.97,0.94,0.93,0.92,0.86,0.96,0.97,0.97,0.96,0.93,0.35,0.21,0.18,0.17,0.09
266,737,23810506,Boyer Creek,1.71E+13,480479,5.3,5.3,70.1,0.05,957.91,0.16,0,1,0,0,0,0,20.35,24.77,25.83,26.21,28.34,13.63,14.91,15.31,15.45,16.71,1.28,1.68,1.82,3.08,2.23,0,0,0,0,0.71,0.47,0,0.96,0.97,0.96,0.96,0.92,0.9,0.94,0.95,0.95,0.95,0.52,0.37,0.34,0.33,0.21
267,835,23810710,Buck Creek,1.71E+13,480412,7.77,7.77,76.51,0.09,1215.96,0.26,0.36,0.92,0,0,0.08,0,21.12,23.22,24.25,24.65,26.81,10.73,11.66,12.05,12.21,13.47,0.93,1.32,1.48,2.74,2.49,0,0,0,0,0,0,0,0.87,0.91,0.92,0.93,0.95,0.73,0.79,0.81,0.82,0.89,0.78,0.73,0.7,0.66,0.56
268,335,23809628,Buckeye Creek,1.71E+13,479754,3.04,9.73,70.87,0.09,811,-0.03,0,0.88,0,0,0.12,0,24.04,24.79,25.82,26.21,28.39,15.19,16.65,17.05,17.19,18.45,1.46,1.86,2,3.26,1.63,0,0,0,0,0.48,0,0,0.97,0.94,0.93,0.92,0.86,0.97,0.97,0.97,0.97,0.94,0.33,0.19,0.16,0.16,0.08
269,336,23809630,Buckeye Creek,1.71E+13,479696,0.72,5.61,71,0.15,1054.56,0.5,0,0.85,0,0,0.15,0,23.35,24.82,25.84,26.24,28.41,13.71,14.99,15.39,15.54,16.79,1.28,1.68,1.83,3.08,1.21,0,0,0,0,0,0,0,0.99,0.98,0.98,0.98,0.95,0.93,0.97,0.98,0.98,0.98,0.51,0.34,0.29,0.28,0.16
270,337,23809632,Buckeye Creek,1.71E+13,479670,2.92,3.5,71,0.12,1236.75,0.33,0,0.82,0,0,0.18,0,23.44,24.75,25.78,26.17,28.34,13.79,15.09,15.48,15.63,16.89,1.3,1.69,1.84,3.1,2.41,0,0,0,0,0.23,0,0,0.96,0.95,0.95,0.95,0.91,0.9,0.94,0.95,0.95,0.95,0.49,0.36,0.32,0.31,0.21
271,338,23809634,Buckeye Creek,1.71E+13,479885,0.58,0.58,71.17,0.31,1333.19,0.06,0,0.89,0,0,0.11,0,22.99,23.69,24.7,25.1,27.27,10.47,11.37,11.76,11.92,13.19,0.9,1.29,1.45,2.72,2.42,0,0,0,0,0,0,0,0.86,0.9,0.92,0.93,0.95,0.7,0.77,0.79,0.8,0.88,0.82,0.76,0.72,0.69,0.57
272,17,23810852,Bull Creek,1.71E+13,479452,0.07,3.48,72.63,0.02,456.65,0.07,0,0.87,0.02,0,0.09,0.01,24.03,24.55,25.6,25.99,28.11,16.37,17.98,18.38,18.52,19.77,1.61,2.01,2.15,3.4,2.49,0,0,0,0,0,0.11,0,0.92,0.86,0.84,0.84,0.76,0.94,0.92,0.92,0.91,0.85,0.25,0.14,0.12,0.11,0.06
273,32,23810864,Bull Creek,1.71E+13,479517,0.22,1.83,72.75,0.08,608.66,-0.04,0,0.86,0.01,0,0.11,0.02,24.26,24.65,25.7,26.09,28.22,15.58,17.09,17.49,17.64,18.89,1.51,1.91,2.06,3.31,2.48,0,0,0,0,0,0,0,0.94,0.9,0.89,0.88,0.81,0.95,0.94,0.93,0.93,0.9,0.32,0.18,0.17,0.16,0.09
274,716,23810460,Bull Creek,1.71E+13,480277,1.61,1.61,73.93,0.21,975.35,0.51,0,0.92,0,0,0.08,0,23.23,24.71,25.77,26.16,28.29,12.7,13.86,14.26,14.41,15.67,1.16,1.56,1.71,2.97,2.5,0,0,0,0,0,0,0,0.94,0.95,0.96,0.96,0.94,0.85,0.9,0.91,0.92,0.95,0.63,0.48,0.45,0.41,0.31
275,858,23810846,Bull Creek,1.71E+13,480218,1.57,3.41,73.55,0.07,586.67,0.23,0,0.89,0.01,0,0.09,0.01,24.14,24.57,25.63,26.01,28.13,15.63,17.14,17.54,17.69,18.94,1.51,1.91,2.06,3.31,2.49,0,0,0,0,0.14,0.14,0,0.95,0.89,0.88,0.88,0.82,0.95,0.94,0.93,0.94,0.89,0.31,0.21,0.16,0.15,0.09
276,827,23810692,Butte Creek,1.71E+13,480396,2.63,2.63,75,0.14,830.69,-0.46,0,0.96,0.01,0,0.03,0,23.68,25.37,26.43,26.81,28.95,14.42,15.79,16.19,16.34,17.59,1.37,1.77,1.92,3.17,1.59,0,0,0,0,0,0,0,0.98,0.97,0.96,0.95,0.9,0.95,0.98,0.98,0.98,0.96,0.41,0.27,0.23,0.22,0.12
277,527,23810046,Button Creek,1.71E+13,479975,1.38,1.38,65,0.29,734.66,0.26,0,0.95,0,0,0.05,0,23.13,22.96,24.03,24.38,26.48,16.04,17.61,18.01,18.15,19.4,1.57,1.97,2.11,3.36,1.55,0,0,0,0,0,0,0,0.96,0.91,0.89,0.88,0.8,0.98,0.97,0.95,0.95,0.9,0.24,0.12,0.1,0.09,0.05
278,757,23810546,Cabin Creek,1.71E+13,480145,0.03,13.21,74.32,0.01,637.86,0,0.58,0.96,0.01,0,0.02,0,23.96,24.77,25.77,26.19,28.35,10.97,11.93,12.32,12.47,13.74,0.96,1.35,1.5,2.77,2.31,1,1,0,1,0,0.17,0.17,0.9,0.93,0.93,0.94,0.96,0.74,0.82,0.83,0.84,0.9,0.8,0.72,0.66,0.65,0.51
279,758,23810548,Cabin Creek,1.71E+13,480399,0.1,11.18,75.46,0.03,643.02,0.11,0.6,0.97,0.01,0,0.02,0,23.96,24.77,25.77,26.19,28.35,10.41,11.3,11.69,11.85,13.11,0.89,1.28,1.44,2.7,2.35,1,1,0,1,0,0.36,0.23,0.86,0.9,0.92,0.93,0.96,0.7,0.78,0.79,0.8,0.87,0.82,0.76,0.72,0.72,0.58
280,759,23810550,Cabin Creek,1.71E+13,480487,8.8,8.8,75.11,0.07,1027.95,0.09,0.68,0.97,0.01,0,0.02,0,23.5,24.12,25.13,25.55,27.71,11.04,12,12.39,12.55,13.81,0.96,1.35,1.51,2.77,2.48,0,0,0,0,0.74,1.37,0.72,0.88,0.92,0.93,0.94,0.96,0.74,0.81,0.83,0.84,0.9,0.78,0.69,0.64,0.63,0.51
281,794,23810624,Cachebox Creek,1.71E+13,480362,3.33,3.33,71.85,0.12,1282.85,0.38,0,0.83,0,0,0.17,0,21.92,23.49,24.48,24.93,27.09,12.86,14.05,14.45,14.6,15.85,1.19,1.59,1.74,2.99,2.47,0,0,0,0,0.34,0.2,0,0.95,0.96,0.96,0.96,0.94,0.86,0.91,0.93,0.92,0.95,0.6,0.48,0.41,0.43,0.28
282,806,23810648,Calico Creek,1.71E+13,480482,4.4,4.4,66,0.19,917.08,0.23,0,0.92,0,0,0.08,0,22.46,22.89,23.94,24.3,26.41,15.71,17.23,17.64,17.78,19.03,1.52,1.93,2.07,3.32,1.57,0,0,0,0,0.01,0,0,0.97,0.92,0.9,0.89,0.83,0.98,0.97,0.96,0.96,0.91,0.27,0.15,0.12,0.11,0.06
283,607,23810220,Campbell Creek,1.71E+13,479995,1.08,1.08,74.97,0.17,874.16,-0.03,0,0.99,0.01,0,0.01,0,24.18,24.77,25.77,26.19,28.35,11.77,12.83,13.22,13.38,14.64,1.06,1.45,1.61,2.87,2.4,0,0,0,0,0,1.43,0,0.92,0.94,0.96,0.96,0.96,0.8,0.86,0.88,0.88,0.93,0.71,0.61,0.56,0.54,0.39
284,779,23810594,Cap Creek,1.71E+13,480363,4.05,4.05,69.38,0.08,696.88,0.13,0,0.95,0,0,0.05,0,24.65,24.86,25.88,26.27,28.44,16.47,18.09,18.49,18.63,19.88,1.62,2.02,2.16,3.41,2.44,0,0,0,0,0,0,0,0.93,0.86,0.83,0.83,0.74,0.95,0.93,0.92,0.91,0.85,0.24,0.12,0.1,0.1,0.05
285,532,23810058,Cat Creek,1.71E+13,479969,2.4,2.4,69.41,0.3,813.62,-0.35,0,0.96,0,0,0.04,0,23.5,24.55,25.6,25.99,28.11,13.07,14.28,14.68,14.83,16.09,1.21,1.61,1.76,3.02,2.57,0,0,0,0,0,0,0,0.94,0.96,0.95,0.95,0.93,0.87,0.91,0.92,0.93,0.95,0.57,0.45,0.4,0.39,0.28
286,571,23810148,Cedar Creek,1.71E+13,480190,2.23,2.23,66,0.22,1154.34,-0.4,0,0.94,0,0,0.06,0,21.88,22.73,23.79,24.13,26.21,13.29,14.53,14.92,15.07,16.33,1.24,1.63,1.78,3.04,2.51,0,0,0,0,0,0,0,0.95,0.96,0.95,0.95,0.93,0.88,0.93,0.93,0.94,0.95,0.54,0.43,0.39,0.36,0.24
287,583,23810172,Chief Creek,1.71E+13,480011,7.13,7.13,76.76,0.06,1053.54,-0.19,0.94,0.87,0,0,0.13,0,22.99,23.75,24.77,25.17,27.34,10.63,11.55,11.93,12.09,13.36,0.92,1.3,1.46,2.73,2.62,0,0,0,0,0.94,0.07,0,0.87,0.9,0.92,0.92,0.95,0.71,0.77,0.81,0.8,0.87,0.78,0.72,0.7,0.67,0.55
288,35,23809000,Clackamas River,1.71E+13,479390,7.51,2441.65,48.75,0,37.68,0.06,0.16,0.78,0.04,0.07,0.1,0.01,26.88,29.86,30.85,31.14,33,22.43,24.76,25.19,25.31,26.54,2.33,2.76,2.88,4.11,1.39,1,1,0,1,0,0.03,2.67,0.52,0.25,0.19,0.19,0.08,0.69,0.48,0.43,0.43,0.31,0.01,0,0,0,0
289,36,23809002,Clackamas River,1.71E+13,479639,3.57,2430.27,49.05,0,56.37,-0.16,0.16,0.78,0.03,0.07,0.1,0.01,26.64,29.77,30.77,31.06,32.91,21.87,24.14,24.56,24.68,25.91,2.27,2.69,2.81,4.04,1.3,1,1,0,1,0,0.01,2.38,0.6,0.32,0.26,0.26,0.12,0.74,0.53,0.5,0.48,0.36,0.01,0,0,0,0
290,37,23809004,Clackamas River,1.71E+13,479645,0.06,2424.92,49.42,0,19.23,-0.06,0.16,0.79,0.03,0.07,0.1,0.01,26.62,29.73,30.72,31.02,32.86,21.99,24.26,24.69,24.81,26.04,2.27,2.7,2.82,4.05,1.42,1,1,0,1,0,0,0.18,0.59,0.32,0.25,0.24,0.12,0.73,0.52,0.48,0.47,0.36,0.01,0,0,0,0
291,38,23809006,Clackamas River,1.71E+13,479642,0.13,2424.86,50.6,0.02,21.27,-0.06,0.16,0.79,0.03,0.07,0.1,0.01,26.58,29.73,30.72,31.02,32.86,21.68,23.92,24.34,24.46,25.69,2.24,2.66,2.78,4.01,1.45,1,1,0,1,0,0,0.3,0.6,0.36,0.3,0.29,0.16,0.75,0.56,0.51,0.5,0.39,0.01,0,0,0,0
