Variable,thermalSensitivity,meanStreamTemp,meanAirTemp,SLOPE,Solar,Elev,BFI
thermalSensitivity,1,0.7668164685783848,0.32741178814206023,-0.28205644578558814,0.20305213457716342,-0.6888688794659481,-0.7724074770534384
meanStreamTemp,0.7668164685783848,1,0.5974015254944701,-0.540416247032922,0.11867145941242586,-0.8750814120900021,-0.8147332302299183
meanAirTemp,0.32741178814206023,0.5974015254944701,1,-0.43674910098535485,0.12245738101621502,-0.6317268835642327,-0.5351439369584777
SLOPE,-0.28205644578558814,-0.540416247032922,-0.43674910098535485,1,0.165609093490343,0.48394335623969986,0.293816757033161
Solar,0.20305213457716342,0.11867145941242586,0.12245738101621502,0.165609093490343,1,-0.22182017014843763,-0.2794695918049765
Elev,-0.6888688794659481,-0.8750814120900021,-0.6317268835642327,0.48394335623969986,-0.22182017014843763,1,0.8976897166241798
BFI,-0.7724074770534384,-0.8147332302299183,-0.5351439369584777,0.293816757033161,-0.2794695918049765,0.8976897166241798,1
