Variable,TSCorrelation,CorrelationDirection,StdCoefficient,StdCoefficientDirection,DirectionMatch
SLOPE,-0.28205644578558814,Negative,-0.1655412082895804,Negative,TRUE
Solar,0.20305213457716342,Positive,-0.12363411990106242,Negative,FALSE
h2oHiCascP,-0.7781816949824829,Negative,-0.777862750154636,Negative,TRUE
Shrub21,0.01767321448277069,Positive,0.13289683928628693,Positive,TRUE
BurnRCA,-0.08320302557454584,Negative,-0.1584429385035149,Negative,TRUE
WetlandsRC,0.21157795842117938,Positive,-0.08157070890548192,Negative,FALSE
AgBuf,0.4787381489022917,Positive,0.0974917979044994,Positive,TRUE
