Variable,TSCorrelation,CorrelationDirection,StdCoefficient,StdCoefficientDirection,DirectionMatch
SLOPE,-0.28205644578558814,Negative,-0.16943462802753995,Negative,TRUE
h2oHiCascP,-0.7781816949824829,Negative,-0.7362584382344157,Negative,TRUE
BurnRCA,-0.08320302557454584,Negative,-0.08023120452543747,Negative,TRUE
AgBuf,0.4787381489022917,Positive,0.10593680263184083,Positive,TRUE
