Variable,TSCorrelation,CorrelationDirection,StdCoefficient,StdCoefficientDirection,DirectionMatch
SLOPE,-0.28205644578558814,Negative,-0.1840471347574333,Negative,TRUE
h2oLakesPe,-0.15386186555194964,Negative,-0.13366230793328832,Negative,TRUE
h2oHiCascP,-0.7781816949824829,Negative,-0.6751358175420282,Negative,TRUE
h2oWetland,0.23553679911380548,Positive,0.20158690178908378,Positive,TRUE
Shrub21,0.01767321448277069,Positive,0.24312023731744142,Positive,TRUE
BurnRCA,-0.08320302557454584,Negative,-0.17634286798454044,Negative,TRUE
