Variable,TSCorrelation,CorrelationDirection,StdCoefficient,StdCoefficientDirection,DirectionMatch
SLOPE,-0.28205644578558814,Negative,-0.18897264271527695,Negative,TRUE
Solar,0.20305213457716342,Positive,-0.16353916127327078,Negative,FALSE
h2oLakesPe,-0.15386186555194964,Negative,-0.13452018151740178,Negative,TRUE
h2oHiCascP,-0.7781816949824829,Negative,-0.7296999173342461,Negative,TRUE
h2oWetland,0.23553679911380548,Positive,0.22569386675930225,Positive,TRUE
Shrub21,0.01767321448277069,Positive,0.19520138095685372,Positive,TRUE
h2oKm2,-0.004405605090907665,Negative,-0.09183301283152655,Negative,TRUE
BurnRCA,-0.08320302557454584,Negative,-0.12774541558403613,Negative,TRUE
