Variable,TSCorrelation,CorrelationDirection,StdCoefficient,StdCoefficientDirection,DirectionMatch
SLOPE,-0.28205644578558814,Negative,-0.29022680011358565,Negative,TRUE
h2oLakesPe,-0.15386186555194964,Negative,-0.2323110074380136,Negative,TRUE
h2oRdDens,-0.025284195983681253,Negative,-0.1307990082996283,Negative,TRUE
AgBuf,0.4787381489022917,Positive,0.2887649107769351,Positive,TRUE
WetlandBuf,0.140769789496879,Positive,-0.15887086385570734,Negative,FALSE
HiCascBuf,-0.4794946192899239,Negative,-0.2627004555291489,Negative,TRUE
RoadsBuf,-0.009203320674332972,Negative,-0.11250209717750335,Negative,TRUE
AbsAzimuth,-0.22773646346616594,Negative,-0.24576709173899666,Negative,TRUE
