Variable,TSCorrelation,CorrelationDirection,StdCoefficient,StdCoefficientDirection,DirectionMatch
SLOPE,-0.28205644578558814,Negative,-0.2731033213658013,Negative,TRUE
h2oLakesPe,-0.15386186555194964,Negative,-0.23391895570619559,Negative,TRUE
RoadsRCA,-0.03574874588454781,Negative,-0.1864621929797473,Negative,TRUE
AgBuf,0.4787381489022917,Positive,0.25235857519583976,Positive,TRUE
HiCascBuf,-0.4794946192899239,Negative,-0.27694128777074273,Negative,TRUE
AbsAzimuth,-0.22773646346616594,Negative,-0.21043067227951034,Negative,TRUE
