Variable,TSCorrelation,CorrelationDirection,StdCoefficient,StdCoefficientDirection,DirectionMatch
SLOPE,-0.28205644578558814,Negative,-0.27726257567983537,Negative,TRUE
h2oLakesPe,-0.15386186555194964,Negative,-0.23785510901117995,Negative,TRUE
WetlandBuf,0.140769789496879,Positive,-0.15506124142204245,Negative,FALSE
HiCascBuf,-0.4794946192899239,Negative,-0.3159035275808483,Negative,TRUE
AbsAzimuth,-0.22773646346616594,Negative,-0.17692131473969497,Negative,TRUE
