Variable,thermalSensitivity,meanStreamTemp,meanAirTemp,MeanMaxAir,MaxAir_C,Precip_mm,SumPrecip,MeanAirJJA,WetPrecip
thermalSensitivity,NA,3.9968028886505635e-15,0.00499454453155157,0.08356172363544734,0.5464096578772697,1.3025879301631349e-5,1.3738524200657132e-4,7.236219488115925e-4,8.180568918270126e-6
meanStreamTemp,3.9968028886505635e-15,NA,3.029102702001296e-8,1.2755929132524102e-5,0.06366163817839343,3.2683931117105658e-9,0.04829315783425914,2.5366597711240502e-11,1.2558891704372854e-9
meanAirTemp,0.00499454453155157,3.029102702001296e-8,NA,0,0,1.0890843782362936e-11,6.129499952622908e-5,0,3.284128524683183e-11
MeanMaxAir,0.08356172363544734,1.2755929132524102e-5,0,NA,0,8.180123245438153e-13,5.057966934174374e-9,0,4.1744385725905886e-12
MaxAir_C,0.5464096578772697,0.06366163817839343,0,0,NA,1.7491301060879039e-6,0,3.064215547965432e-14,4.467879257674667e-6
Precip_mm,1.3025879301631349e-5,3.2683931117105658e-9,1.0890843782362936e-11,8.180123245438153e-13,1.7491301060879039e-6,NA,0.04291729198062666,0,0
SumPrecip,1.3738524200657132e-4,0.04829315783425914,6.129499952622908e-5,5.057966934174374e-9,0,0.04291729198062666,NA,0.0012892260335721772,0.07567918459500689
MeanAirJJA,7.236219488115925e-4,2.5366597711240502e-11,0,0,3.064215547965432e-14,0,0.0012892260335721772,NA,4.440892098500626e-16
WetPrecip,8.180568918270126e-6,1.2558891704372854e-9,3.284128524683183e-11,4.1744385725905886e-12,4.467879257674667e-6,0,0.07567918459500689,4.440892098500626e-16,NA
