thermalSensitivity,meanStreamTemp,meanAirTemp,SLOPE,Solar,Elev,BFI
NA,3.9968028886505635e-15,0.00499454453155157,0.01637724288961051,0.08714190897937946,2.2497559371004172e-11,1.7763568394002505e-15
3.9968028886505635e-15,NA,3.029102702001296e-8,9.585692026803372e-7,0.32078239939094066,0,0
0.00499454453155157,3.029102702001296e-8,NA,1.2526525667433397e-4,0.30547510286648105,2.674608090558195e-9,1.27878306299678e-6
0.01637724288961051,9.585692026803372e-7,1.2526525667433397e-4,NA,0.16444782744640896,1.656329193844286e-5,0.012243679322325285
0.08714190897937946,0.32078239939094066,0.30547510286648105,0.16444782744640896,NA,0.06111425403769721,0.017432451573204943
2.2497559371004172e-11,0,2.674608090558195e-9,1.656329193844286e-5,0.06111425403769721,NA,0
1.7763568394002505e-15,0,1.27878306299678e-6,0.012243679322325285,0.017432451573204943,0,NA
