"SLOPE","Solar","Elev","BFI","h2oDevelop","h2oLakesPe","h2oAgricul","h2oBurnPer","h2oRdDens","h2oHiCascP","h2oWetland","h2oVegCov","h2oVegHt","Forest21","Shrub21","h2oKm2","BurnRCA","AgricultRC","WetlandsRC","LakesRCA","HiCascRCA","DevelopRCA","RoadsRCA","VegCover","VegHeight_","DevelopBuf","AgBuf","BurnBuf","WetlandBuf","LakesBuf","HiCascBuf","RoadsBuf","VegHtBuf","VegCovBuf","MeanMaxAir","MaxAir_C","Precip_mm","SumPrecip","MeanAirJJA","WetPrecip","thermalSensitivity"
0.0523,0.2075,152.993,49.15,0.3146,4e-04,0.5058,0,2.6057,0,0.0194,8.583,2.5804,0.0962,0.0385,5.5205,0,0.235,0.0083,0,0,0.6348,3.8917,7.0332,2.4332,0.2887,0.2517,0,0.0317,0,0,3.2702,10.9469,28.8151,26.9997,28.7062,1276.4918,148.0833,19.4596,986.5457,0.372
0.0126,0.0333,111.158,50.14,0.1931,0.0034,0.4066,0,3.6912,0,0.0097,21.0455,7.6759,0.3071,0.0349,33.0867,0,0.3656,0.0048,0.0021,0,0.0477,1.9467,30.9661,11.4215,0.041,0.0066,0,0.0175,0.0034,0,2.9697,20.7923,56.5795,26.9006,28.5274,1309.6235,157.1713,19.3581,1024.618,0.346
0.0236,-0.0415,562.992,59.32,0,0,0,0,6e-04,0,0.0022,74.5517,23.754,0.983,0.0105,32.6609,0,0,6e-04,0,0,0,0,73.3718,26.1928,0,0,0,0.004,0,0,0,28.6912,72.5706,21.5691,23.8438,2698.4116,238.9961,15.8717,2213.3728,0.221
0.0119,0.0275,209.853,54.23,0.0012,3e-04,0.0138,0,0.5901,0,0.0024,65.5488,22.5165,0.9033,0.067,92.1124,0,0.2453,0.0026,2e-04,0,0.0258,1.1402,28.7129,11.0304,0,0,0,0.0025,0,0,0,21.9405,55.5401,24.2263,25.6214,1310.6817,155.4634,17.335,1032.0254,0.436
0.0102,-0.0942,144.303,52.05,0.0116,0.0012,0.0489,0,0.913,0,0.0039,55.2229,19.0425,0.7813,0.1028,203.0238,5e-04,0.2894,0.0113,0.0014,0,0.0738,1.9293,31.832,11.7797,0.0361,0.0329,0.0028,0.0543,0.0013,0,1.3148,18.6611,49.8437,26.5155,28.1563,1306.0242,152.7947,19.1268,1018.2614,0.479
0.0102,-0.0942,144.303,52.05,0.0135,0.0012,0.0561,0,0.9436,0,0.0042,54.5184,18.8238,0.7813,0.1028,209.3283,5e-04,0.2894,0.0113,0.0014,0,0.0738,1.9293,31.832,11.7797,0.0361,0.0329,0.0028,0.0543,0.0013,0,1.3148,18.6611,49.8437,26.5155,28.1563,1306.0242,152.7947,19.1268,1018.2614,0.517
0.0068,-0.1586,63.4875,51.08,0.022,0.0013,0.1044,8e-04,1.113,0,0.007,51.0006,17.6548,0.7546,0.1039,232.4503,0.0271,0.6126,0.0504,0.0013,0,0.1273,3.0066,13.0845,4.8049,0.0341,0.0986,0.054,0.1578,0.0109,0,0.7763,12.0293,31.8481,27.1138,28.8924,1283.6014,146.3672,19.7996,1002.5091,0.452
0.0154,-0.1313,117.932,52.75,0.0905,0.0033,0.5675,1e-04,2.6717,0,0.0238,18.9138,6.9797,0.2151,0.0434,11.1954,5e-04,0.6606,0.0691,0.0074,0,0.1152,2.7961,14.4596,5.3896,0.1374,0.6134,0.0031,0.1654,0.0012,0,3.9286,4.8797,14.0487,27.1779,28.8995,1285.8329,148.2064,19.8736,1000.2312,0.385
0.0362,-0.1014,337.131,56.22,0.0053,0.0011,0.0277,0,0.7293,0,0.0046,50.6673,16.789,0.6921,0.1098,15.6311,0,0.0277,0.0046,0.0011,0,0.0053,0.7293,50.6673,16.789,0.0077,0,0,0.0317,0.0062,0,0.455,21.0483,60.0291,23.1543,24.9038,1563.5683,175.0538,16.8182,1256.0392,0.402
0.0762,-0.0276,848.968,57.87,0,0,0,0,1.3226,0,0,73.9641,21.502,0.1849,8e-04,0.5643,0,0,0,0,0,0,1.3226,73.9641,21.502,0,0,0,0,0,0,4.4892,22.5675,70.5781,21.5143,23.8088,2714.1405,237.7808,15.8413,2225.9994,0.218
0.0179,0.1794,246.56,53.48,0.0045,0.0026,0.0061,0,0.826,0,0.0056,52.7133,17.6015,0.8045,0.1288,44.9818,0,0.0886,1e-04,0,0,0,0.491,36.9983,13.5993,0,0,0,0.0019,0,0,0,17.7678,48.5258,24.5856,26.0166,1384.3144,166.5623,17.3196,1084.0579,0.451
0.0168,0.075,165.95,53.8,0.0049,0.0023,0.0303,0,0.9235,0,0.0055,50.5227,17.2388,0.7944,0.1486,60.561,0,0.0156,1e-04,0,0,0.0197,1.0502,55.2377,20.7515,0.0291,0,0,0.0019,0,0,1.0371,23.5241,63.0693,24.8894,26.3493,1371.2727,164.5456,17.5829,1073.4462,0.329
0.0405,0.1027,342.892,52.62,0.0535,0.0025,0.1254,0,2.1191,0,0.0054,41.5627,15.2704,0.3146,0.059,10.5919,0,0.1254,0.0054,0.0025,0,0.0535,2.1191,41.5627,15.2704,0.0457,0,0,0.0309,0.0013,0,1.781,20.6304,55.5487,24.2011,25.679,1449.517,172.0304,17.2691,1142.0731,0.456
0.0367,0.0533,365.487,54.01,0.0014,0.0038,0.0652,0,1.374,0,0.0093,42.1268,15.0279,0.2805,0.1037,5.7609,0,0.2188,0.0064,6e-04,0,0.0049,1.4426,41.6521,15.3691,0,0,0,0.0327,0,0,1.8335,22.4176,58.9131,24.017,25.4392,1322.3874,157.1226,17.2338,1044.5125,0.147
0.0367,0.0533,365.487,54.01,0.0024,0.0029,0.1077,0,1.393,0,0.0085,41.9956,15.1222,0.2805,0.1037,7.9622,0,0.2188,0.0064,6e-04,0,0.0049,1.4426,41.6521,15.3691,0,0,0,0.0327,0,0,1.8335,22.4176,58.9131,24.017,25.4392,1322.3874,157.1226,17.2338,1044.5125,0.434
0.0646,-0.0258,488.237,53.49,0.001,0.014,0,0,0.8585,0,0.0098,55.3588,16.9932,0.7226,0.0748,5.3818,0,0,0.0098,0.014,0,0.001,0.8585,55.3588,16.9932,0,0,0,0.0325,0.0097,0,0.2145,19.6047,60.8633,22.8377,24.6159,2034.4483,210.4989,16.6658,1643.5598,0.317
0.0116,0.0989,144.16,54.85,6e-04,0.0063,6e-04,0.1178,1.3038,0.2179,0.0067,58.9525,22.1818,0.7632,0.2193,1738.4991,0.0123,0.117,0.0016,0.0275,0,0.1091,2.3894,38.1058,15.6627,0.1683,0.063,0,0.0113,0.2093,0,1.0412,13.0946,31.2101,25.0412,26.6726,1311.1802,151.494,17.9064,1030.795,0.165
