Model.Name,Landscape.EV,Estimate,Standardized.Coefficient,Std.Error,t.Value,p.Value,Significance,Correlation.w..thermal.sensitivity,R.Squared,Adjusted.R.Squared,F.statistic,F.p.Value,X..of.Significant.EVs,Total...of.EVs
model2,SLOPE,-1.1653702470093208,-0.22111119347004743,0.44871358830452734,-2.5971360738432145,0.011939697781050761,*,-0.28205644578558814,0.6777071062658082,0.5985474481556559,8.561268737704307,1.529346533852056e-9,2,14
model2,h2oLakesPe,-3.0806768255103036,-0.06730233113308795,4.235618393814801,-0.7273263403542117,0.47000300418867147,,-0.15386186555194964,0.6777071062658082,0.5985474481556559,8.561268737704307,1.529346533852056e-9,2,14
model2,h2oRdDens,-0.001866631107104751,-0.010330328321372794,0.017715712583674523,-0.10536584956931953,0.916455433386551,,-0.025284195983681253,0.6777071062658082,0.5985474481556559,8.561268737704307,1.529346533852056e-9,2,14
model2,h2oHiCascP,-0.46237626574339974,-0.7729869514795478,0.07101099102912026,-6.511333795549875,2.0651339549178956e-8,***,-0.7781816949824829,0.6777071062658082,0.5985474481556559,8.561268737704307,1.529346533852056e-9,2,14
model2,Shrub21,0.11841523015357244,0.17606002867993112,0.06381093636747186,1.8557199893079075,0.0686661384270507,.,0.01767321448277069,0.6777071062658082,0.5985474481556559,8.561268737704307,1.529346533852056e-9,2,14
model2,h2oKm2,-2.0931931358462405e-5,-0.08028012566556576,2.5095866654573155e-5,-0.8340788404152615,0.4077184920583178,,-0.004405605090907665,0.6777071062658082,0.5985474481556559,8.561268737704307,1.529346533852056e-9,2,14
model2,BurnRCA,-0.12912741178297987,-0.1427870599241518,0.08659497228633907,-1.4911652301937461,0.14143190681185794,,-0.08320302557454584,0.6777071062658082,0.5985474481556559,8.561268737704307,1.529346533852056e-9,2,14
model2,WetlandsRC,-0.41448400278784187,-0.22101868687776874,0.2861585616249555,-1.4484417325631933,0.15297244681934424,,0.21157795842117938,0.6777071062658082,0.5985474481556559,8.561268737704307,1.529346533852056e-9,2,14
model2,HiCascRCA,0.18914155034914193,0.2308202915610561,0.15252056985212184,1.24010519061479,0.2200173498547157,,-0.5931309100756962,0.6777071062658082,0.5985474481556559,8.561268737704307,1.529346533852056e-9,2,14
model2,RoadsRCA,0.0021585783641907036,0.02125457608869916,0.013444139361967967,0.16055905893813413,0.873008384216883,,-0.03574874588454781,0.6777071062658082,0.5985474481556559,8.561268737704307,1.529346533852056e-9,2,14
model2,AgBuf,0.15169442567142827,0.10353887846956131,0.12363542029175793,1.2269495692533419,0.22488536502459913,,0.4787381489022917,0.6777071062658082,0.5985474481556559,8.561268737704307,1.529346533852056e-9,2,14
model2,WetlandBuf,0.17923288332273238,0.170156862854195,0.15303403196267476,1.1711962432411607,0.24639271312005512,,0.140769789496879,0.6777071062658082,0.5985474481556559,8.561268737704307,1.529346533852056e-9,2,14
model2,HiCascBuf,-0.21294283575748713,-0.16417882009159154,0.19797823651301555,-1.075587092339252,0.28664371789004517,,-0.4794946192899239,0.6777071062658082,0.5985474481556559,8.561268737704307,1.529346533852056e-9,2,14
model2,RoadsBuf,6.125707267156463e-4,0.008556065988267698,0.00723305026776945,0.08469051147691702,0.932804201096415,,-0.009203320674332972,0.6777071062658082,0.5985474481556559,8.561268737704307,1.529346533852056e-9,2,14
