"","Estimate","Standardized","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.351567394034509,NA,0.0248463187970498,14.1496773387715,8.34909514862068e-22
"SLOPE",-0.684563519492096,-0.129885465318339,0.395225853875352,-1.73208182809821,0.0878607292863667
"h2oRdDens",-0.0165524404242019,-0.0916046793879842,0.0143831047627828,-1.15082527014837,0.253894800611513
"h2oHiCascP",-0.392243875729645,-0.655741698266676,0.046464936165255,-8.44171773602807,3.84917389270447e-12
"AgricultRC",0.236899883154231,0.286352590020698,0.0728993381523351,3.24968496502931,0.0018084683552902
