year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2021,182,55332.27,0,367.38,0,25.48,13.91,1077.41
2021,183,55287.85,0,447.79,0,28.23,13.13,850.82
2021,184,55239.24,0,497.27,0,30.46,12.09,701.66
2021,185,55186.48,0,468.78,0,29.21,12.6,781.27
2021,186,55129.61,0,496.99,0,30.38,11.49,677.31
2021,187,55068.68,0,538.78,0,33.97,9.96,538.54
2021,188,55003.73,0,386.3,0,25.56,12.49,922.34
2021,189,54934.81,0,455.71,0,26.42,9.92,638
2021,190,54861.98,0,535.29,0,32.16,8.51,441.56
2021,191,54785.29,0,473.23,0,30.51,12.07,652.9
2021,192,54704.8,0,494.2,0,31.2,10.95,555.65
2021,193,54620.57,0,464.08,0,29.31,11.21,623.79
2021,194,54532.65,0,487.34,0,31.2,11,569.24
2021,195,54441.12,0,421.16,0,28.87,12.65,766.33
2021,196,54346.04,0,391.06,0,25.9,11.27,776.63
2021,197,54247.46,0,386.4,0,24.35,10.11,740.62
2021,198,54145.47,0,458.48,0,27.3,9.16,571.07
2021,199,54040.12,0,483.06,0,30.13,10.05,553.45
2021,200,53931.5,0,433.52,0,28.64,11.7,708.16
2021,201,53819.65,0,404.59,0,25.7,10.55,726.32
2021,202,53704.67,0,330.76,0,21.32,9.72,845.37
2021,203,53586.61,0,451.4,0,25.72,8.15,559.62
2021,204,53465.56,0,493.58,0,29.38,8.44,495.36
2021,205,53341.58,0,510.48,0,32.28,9.54,439.08
2021,206,53214.75,0,471.44,0,31.11,11.62,517.08
2021,207,53085.13,0,475.12,0,31.12,11.34,503.97
2021,208,52952.81,0,354.78,0,27.1,14.06,884.61
2021,209,52817.85,0,474.93,0,31.84,12.21,532.5
2021,210,52680.33,0,483.25,0,34.03,13.38,569.74
2021,211,52540.31,0,441,0,33.41,15.7,668.79
2021,212,52397.87,0,277.77,0,28.25,18.1,1193.18
2021,213,52253.08,0,425.53,0,33.04,16.29,696.11
2021,214,52106.01,0,484.8,0,35.11,13.87,589.58
2021,215,51956.73,0,430.77,0,32.36,15.16,644.73
2021,216,51805.31,0,472.24,0,33.59,13.35,568.55
2021,217,51651.81,0,249.37,0,23.34,14.55,1002.73
2021,218,51496.3,0,289.21,0,24.14,13.98,784.12
2021,219,51338.86,0,381.84,0,27.67,13.69,582.48
2021,220,51179.53,0,315.37,0,19.94,9.17,559.13
2021,221,51018.4,0,498.77,0,28.08,6.52,348.68
2021,222,50855.52,0,492.93,0,31.89,10.32,459.19
2021,223,50690.95,0,488.97,0,36.99,14.67,623.26
2021,224,50524.75,0,456.03,0,35.93,16.63,712.55
2021,225,50356.99,0,439.78,0,34.99,16.86,723.6
2021,226,50187.72,0,427.48,0,34.18,16.74,717.96
2021,227,50016.99,0,422.49,0,33.14,15.99,682.27
2021,228,49844.88,0,419.36,0,29.96,13.27,565.46
2021,229,49671.42,0,166.18,0,15.2,9.56,949.36
2021,230,49496.68,0,398.45,0,24.12,9.22,424.59
2021,231,49320.7,0,372.27,0,24.41,10.8,475.33
2021,232,49143.55,0,219.08,0,19.18,11.72,702.81
2021,233,48965.26,0,259.14,0,18.85,10.16,487.98
2021,234,48785.89,0,280.18,0,18,8.74,410.04
2021,235,48605.49,0,430.95,0,21.23,5.05,312.87
2021,236,48424.09,0,472.56,0,24.57,4.87,308.52
2021,237,48241.76,0,455.14,0,25.6,7.13,364.74
2021,238,48058.53,0,368.6,0,21.82,8.76,410.7
2021,239,47874.44,0,344.19,0,20.83,9.04,418.95
2021,240,47689.54,0,486.92,0,27.63,5.16,315.39
2021,241,47503.87,0,466.02,0,28.82,8.42,400.81
2021,242,47317.48,0,316.95,0,19.36,8.46,401.94
2021,243,47130.39,0,349.8,0,19.34,7.05,362.61
