year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2021,182,55436.66,0,209.39,0,21.52,15.58,1769.18
2021,183,55391.81,0,387.06,0,27.49,15.32,1628.24
2021,184,55342.72,0,461.45,0,28.97,13.1,1304.97
2021,185,55289.44,0,452.52,0,28.64,13.25,1331.98
2021,186,55232.02,0,470.04,0,29.1,12.4,1237.1
2021,187,55170.49,0,509.88,0,31.8,11.11,1078.48
2021,188,55104.91,0,323.66,0,23.53,13.52,1549.05
2021,189,55035.32,0,403.25,0,24.91,11.71,1278.56
2021,190,54961.78,0,506.97,0,30.73,10.21,1001.91
2021,191,54884.35,0,444.4,0,29.52,13.31,1308.27
2021,192,54803.08,0,473.79,0,29.3,11.08,1099.91
2021,193,54718.04,0,447.7,0,28.68,12.04,1207.9
2021,194,54629.28,0,442.8,0,28.23,11.65,1187.23
2021,195,54536.87,0,414.56,0,27.08,11.89,1249.37
2021,196,54440.88,0,379.66,0,25.34,11.85,1302.81
2021,197,54341.37,0,377.37,0,24.34,11.11,1251.1
2021,198,54238.41,0,426.57,0,26.72,10.93,1164.92
2021,199,54132.07,0,459.64,0,29.06,10.96,1115.43
2021,200,54022.41,0,433.28,0,29.07,12.48,1266.4
2021,201,53909.52,0,356.8,0,25.08,12.7,1414.53
2021,202,53793.46,0,316.81,0,22.07,11.63,1367.86
2021,203,53674.3,0,444.27,0,25.61,9.14,1028.04
2021,204,53552.13,0,475.19,0,28.8,9.74,1016.32
2021,205,53427,0,475.58,0,31.31,11.71,1103.56
2021,206,53298.99,0,441.09,0,30.74,13.53,1263.32
2021,207,53168.19,0,444.97,0,30,12.74,1201.45
2021,208,53034.65,0,414.04,0,29.97,14.5,1396.08
2021,209,52898.46,0,470.16,0,32.68,13.42,1204.58
2021,210,52759.68,0,467.25,0,34.36,14.75,1306.49
2021,211,52618.39,0,379.36,0,31.28,17.08,1652.96
2021,212,52474.67,0,247.3,0,27.95,19.12,2212.39
2021,213,52328.58,0,381.65,0,31.48,16.96,1632.93
2021,214,52180.19,0,463.17,0,34.1,14.44,1198.03
2021,215,52029.57,0,380.99,0,30.89,16.42,1546.25
2021,216,51876.8,0,453.69,0,33.03,14.07,1196.78
2021,217,51721.94,0,279.39,0,24.89,15.25,1647.86
2021,218,51565.07,0,263.48,0,25.23,16.12,1753.2
2021,219,51406.23,1.74,368.92,0,27.64,14.31,1323.71
2021,220,51245.51,0,355.49,0,23.06,10.88,1113.48
2021,221,51082.97,0,463.75,0,27.89,9.46,845.59
2021,222,50918.67,0,458.97,0,31.48,12.68,1026.58
2021,223,50752.67,0,463.29,0,37.25,16.56,1265.12
2021,224,50585.03,0,437.84,0,37.86,18.67,1500.86
2021,225,50415.82,0,387.67,0,34,18.49,1637.35
2021,226,50245.1,0,381.78,0,33.03,17.88,1601.18
2021,227,50072.91,0,399.27,0,33.28,17.03,1480.58
2021,228,49899.33,2.37,286.25,0,29.03,13.92,1448.31
2021,229,49724.39,0,192.26,0,17.86,11.52,1357.99
2021,230,49548.17,0,384,0,24.77,10.73,1027.77
2021,231,49370.71,0,370.01,0,24.77,11.36,1042.46
2021,232,49192.06,2.7,161.44,0,20.83,13.49,1545.24
2021,233,49012.27,1.68,228.2,0,19.94,12.33,1424.42
2021,234,48831.39,0.78,178.1,0,16.94,11.3,1338.67
2021,235,48649.48,0,391.62,0,20.89,7.42,729.23
2021,236,48466.57,0,482.18,0,27.51,7.21,502.23
2021,237,48282.72,0,436.72,0,25.42,9.1,585.78
2021,238,48097.97,2.99,265.11,0,23,10.77,960.34
2021,239,47912.36,0,290.15,0,20.98,11.69,1011.34
2021,240,47725.93,0,491.26,0,29.57,7.47,432.54
2021,241,47538.73,0,457.25,0,28.82,10.14,571.63
2021,242,47350.8,0,319.65,0,19.62,8.99,813.08
2021,243,47162.18,0,303.73,0,19.46,9.46,870.99
