year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2021,182,55515.64,0,202.27,0,21.72,16.06,1824.65
2021,183,55470.45,0,383.78,0,27.93,16.11,1587
2021,184,55421,0,456.83,0,29.11,13.89,1256.38
2021,185,55367.33,0,454.96,0,28.71,13.59,1238.37
2021,186,55309.49,0,469.65,0,29.14,12.9,1161.74
2021,187,55247.51,0,502.15,0,31.26,12.05,1043.29
2021,188,55181.44,0,315.62,0,23.49,14.01,1529.41
2021,189,55111.35,0,401.29,0,25.01,12.26,1230.91
2021,190,55037.27,0,500.71,0,30.65,11.36,988.94
2021,191,54959.28,0,446.26,0,29.7,13.88,1255.02
2021,192,54877.42,0,474.17,0,29.22,11.52,1044.84
2021,193,54791.76,0,450.15,0,28.87,12.52,1151.39
2021,194,54702.37,0,443.42,0,28.27,12.06,1132.52
2021,195,54609.29,0,418.12,0,27.18,12.19,1185.86
2021,196,54512.61,0,377.18,0,25.62,12.54,1284.86
2021,197,54412.39,0,367.01,0,24.54,12.06,1268.4
2021,198,54308.69,0,413.15,0,26.97,12.26,1203.27
2021,199,54201.6,0,463.73,0,29.47,11.55,1066.3
2021,200,54091.17,0,443.15,0,29.82,13.04,1203.52
2021,201,53977.48,0,351.76,0,25.75,13.87,1445.76
2021,202,53860.6,0,335.54,0,22.72,11.83,1312.23
2021,203,53740.61,0,444.75,0,26.33,10.21,1023.88
2021,204,53617.58,0,468.16,0,28.72,10.73,1007.48
2021,205,53491.58,0,477.35,0,31.56,12.51,1038.69
2021,206,53362.69,0,448.83,0,31.18,14.07,1179.34
2021,207,53230.98,0,456.04,0,30.56,13.19,1109.23
2021,208,53096.52,0,427.5,0,30.23,14.66,1272.64
2021,209,52959.4,0,479.24,0,33.15,13.88,1106.96
2021,210,52819.67,0,481.85,0,35.28,15.08,1177.64
2021,211,52677.43,0,380.92,0,30.92,17.21,1563.21
2021,212,52532.73,0,231.3,0,27.39,19.45,2243.47
2021,213,52385.65,0,394.72,0,31.15,16.59,1477.13
2021,214,52236.26,0,462.15,0,33.05,14.29,1116.17
2021,215,52084.64,0,400.38,0,31.09,16.14,1397.1
2021,216,51930.85,0,466.52,0,33.57,14.15,1099.6
2021,217,51774.96,0,328.95,0,26.94,15.59,1509.5
2021,218,51617.04,1.59,279.95,0,25.8,16.29,1686.59
2021,219,51457.16,0,372.58,0,27.31,14.09,1283.31
2021,220,51295.38,0,362.8,0,24.08,11.71,1138.07
2021,221,51131.77,0,453.41,0,28.26,10.7,908.61
2021,222,50966.39,0,461.3,0,32.01,13.14,1025.88
2021,223,50799.31,0,469.89,0,37.75,16.55,1215.81
2021,224,50630.59,0,449.54,0,38.35,18.4,1410.43
2021,225,50460.29,0,396.28,0,34.38,18.52,1583.97
2021,226,50288.46,0,380.95,0,32.8,17.89,1575.1
2021,227,50115.17,0,411.29,0,33.76,16.88,1407.65
2021,228,49940.47,0,391.01,0,29.37,14.24,1244.8
2021,229,49764.42,0,208.45,0,19.89,12.93,1490.61
2021,230,49587.08,0,382.28,0,25.39,11.39,1066.29
2021,231,49408.49,0.81,367.3,0,25.76,12.36,1124.86
2021,232,49228.7,0.93,222.98,0,21.63,14.04,1591.06
2021,233,49047.78,0,223.54,0,20.89,13.42,1538.66
2021,234,48865.77,0.86,188.16,0,18.12,12.13,1413.64
2021,235,48682.72,0,383.59,0,21.55,8.38,767.27
2021,236,48498.67,0,486.55,0,28.98,7.88,453.12
2021,237,48313.67,0,425.98,0,25.4,9.72,570.12
2021,238,48127.76,0.92,338.85,0,23.61,12.31,832.91
2021,239,47941,0,285.4,0,21.83,12.72,1014.14
2021,240,47753.42,0,487.04,0,30.24,8.52,405.84
2021,241,47565.07,0,461.45,0,29.47,10.31,500.22
2021,242,47375.98,0,325.32,0,20.62,9.74,775.34
2021,243,47186.19,0,310.09,0,19.96,9.73,811.82
