year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2021,182,55254.64,0,425.67,0,25.62,11.92,1065.55
2021,183,55210.54,0,472.33,0,27.15,11.03,932.19
2021,184,55162.29,0,509.77,0,29.26,10.27,827.14
2021,185,55109.91,0,490.19,0,27.85,10.29,861.97
2021,186,55053.45,0,513.55,0,29.42,9.55,784.51
2021,187,54992.96,0,533.65,0,32.65,9.78,754.99
2021,188,54928.48,0,415.64,0,24.85,10.66,989.54
2021,189,54860.06,0,468.29,0,25.52,8.43,767.91
2021,190,54787.76,0,543.48,0,31.55,7.07,583.19
2021,191,54711.62,0,478.79,0,29.26,10.55,818.35
2021,192,54631.7,0,503.94,0,30.08,9.04,706.46
2021,193,54548.07,0,464.13,0,28.06,9.92,813.55
2021,194,54460.79,0,499.12,0,30.51,9.33,725.41
2021,195,54369.9,0,435.5,0,27.63,10.58,894.18
2021,196,54275.49,0,410.78,0,24.81,9.15,864.84
2021,197,54177.62,0,399.01,0,22.55,7.69,813.58
2021,198,54076.34,0,454.53,0,25.78,7.76,733.51
2021,199,53971.73,0,485.48,0,28.98,8.48,714.95
2021,200,53863.86,0,427.3,0,26.92,10.21,894.73
2021,201,53752.8,0,421.8,0,24.6,8.44,817.85
2021,202,53638.62,0,343.87,0,19.64,7.43,887.91
2021,203,53521.38,0,460.48,0,24.48,6.17,665.03
2021,204,53401.16,0,492.69,0,27.62,6.58,634.62
2021,205,53278.03,0,498.59,0,31.15,9.13,668.63
2021,206,53152.07,0,463.17,0,29.78,10.56,761.39
2021,207,53023.34,0,471.31,0,30.16,10.36,714.64
2021,208,52891.92,0,318.85,0,24.14,12.45,1140.74
2021,209,52757.87,0,454.01,0,30.09,11.51,801.39
2021,210,52621.28,0,476.9,0,33.36,12.75,810.25
2021,211,52482.2,0,425.46,0,32.19,14.96,969.92
2021,212,52340.72,0,279.67,0,28.11,17.65,1509.71
2021,213,52196.9,0,421.88,0,32.18,15.24,913.65
2021,214,52050.81,0,467.99,0,33.27,13.45,692.33
2021,215,51902.52,0,428.08,0,31.4,14.19,819.23
2021,216,51752.1,0,469.34,0,32.52,12.58,661.5
2021,217,51599.61,0,296.05,0,23.2,12.6,1038.33
2021,218,51445.13,0,304.48,0,22.68,11.86,932.26
2021,219,51288.71,0,390.95,0,25.66,11.2,660.77
2021,220,51130.43,0,330.47,0,18.78,7.4,655.22
2021,221,50970.34,0,510.54,0,27.8,5.47,322.7
2021,222,50808.51,0,494.92,0,30.84,9.59,435.95
2021,223,50645,0,488.72,0,35.89,14.36,610.01
2021,224,50479.88,0,448.17,0,34.76,16.31,717.09
2021,225,50313.19,0,435.01,0,34.54,16.8,774.61
2021,226,50145,0,425.22,0,32.63,15.56,754.32
2021,227,49975.37,0,412.79,0,31.55,15.16,773.77
2021,228,49804.34,0,428.07,0,28.56,11.57,578.43
2021,229,49631.98,0,154.65,0,13.09,7.94,1041.15
2021,230,49458.35,0,422.91,0,22.55,6.58,411.37
2021,231,49283.48,0,388.78,0,22.84,8.73,431.59
2021,232,49107.44,0,241.7,0,17.66,9.46,792.98
2021,233,48930.26,1.92,274.52,0,17.17,7.99,612.39
2021,234,48752.01,0,339.53,0,17.56,6.07,454.49
2021,235,48572.73,0,450.92,0,20.23,3.14,270.94
2021,236,48392.46,0,470.26,0,23.88,4.91,309.48
2021,237,48211.26,0,439.51,0,22.6,5.99,335.3
2021,238,48029.16,0,364.56,0,20.42,7.84,384.26
2021,239,47846.21,0,380.39,0,20.21,6.94,359.77
2021,240,47662.45,0,485.59,0,26.23,4.95,310.5
2021,241,47477.92,0,456.69,0,27.15,8.41,400.51
2021,242,47292.66,0,329.74,0,18.1,6.86,357.48
2021,243,47106.72,0,389.22,0,18.18,4.18,293.15
