year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2021,182,55462.92,0,200.04,0,22.62,16.7,1900.43
2021,183,55417.96,0,378.87,0,28.83,16.62,1597.23
2021,184,55368.75,0,455.31,0,29.78,13.96,1217.42
2021,185,55315.34,0,452.86,0,29.64,13.91,1219.46
2021,186,55257.78,0,468.76,0,29.96,13.04,1128.3
2021,187,55196.1,0,504.61,0,32.01,11.72,975.12
2021,188,55130.35,0,310.08,0,24.48,14.71,1568.48
2021,189,55060.6,0,395.04,0,25.73,12.65,1232.05
2021,190,54986.88,0,499,0,31.4,11.42,945.24
2021,191,54909.27,0,442.4,0,30.56,14.26,1234.52
2021,192,54827.8,0,476.14,0,30.09,11.48,990.04
2021,193,54742.56,0,454.67,0,29.9,12.54,1094.18
2021,194,54653.59,0,443.79,0,29,12.09,1085.45
2021,195,54560.96,0,420.89,0,28.03,12.25,1138.09
2021,196,54464.73,0,383.12,0,26.66,12.72,1242.43
2021,197,54364.99,0,368.95,0,25.49,12.34,1243.84
2021,198,54261.78,0,417.4,0,27.85,12.24,1147.36
2021,199,54155.19,0,460.72,0,30.15,11.65,1029.57
2021,200,54045.28,0,441.62,0,30.75,13.3,1172.47
2021,201,53932.12,0,351.15,0,26.64,14.23,1431.16
2021,202,53815.79,0,323.78,0,23.72,12.75,1367.58
2021,203,53696.35,0,445,0,27.11,10.23,981.88
2021,204,53573.89,0,469.32,0,29.65,10.72,963.13
2021,205,53448.48,0,475.93,0,32.34,12.55,983.31
2021,206,53320.18,0,447.28,0,32.07,14.28,1126.2
2021,207,53189.07,0,453.52,0,31.26,13.27,1052.72
2021,208,53055.23,0,428.3,0,31.53,15.13,1232.58
2021,209,52918.72,0,476.23,0,33.95,14.05,1053.07
2021,210,52779.63,0,477.66,0,35.92,15.24,1121.12
2021,211,52638.03,0,368.25,0,31.08,17.45,1517.35
2021,212,52493.98,0,235.24,0,28.29,19.83,2194.65
2021,213,52347.56,0,393.83,0,32.06,16.92,1405.72
2021,214,52198.84,0,459.87,0,33.55,14.25,1031.59
2021,215,52047.89,0,398.91,0,31.99,16.49,1334.91
2021,216,51894.78,0,464.05,0,34.21,14.2,1020.95
2021,217,51739.58,0,329.25,0,27.71,15.87,1440.82
2021,218,51582.35,0,289.32,0,27.18,16.87,1620.97
2021,219,51423.17,0,375.87,0,28.8,14.81,1212.82
2021,220,51262.1,0,379.69,0,25.61,11.87,1019.61
2021,221,51099.2,0,450.63,0,28.88,10.78,819.33
2021,222,50934.54,0,464.43,0,32.89,12.99,894.55
2021,223,50768.18,0,467.31,0,38.52,16.83,1093.95
2021,224,50600.19,0,446.9,0,39.23,18.79,1285.61
2021,225,50430.61,0,395.45,0,34.8,18.48,1431.35
2021,226,50259.52,0,381.47,0,33.6,18.11,1447.93
2021,227,50086.97,0,411.47,0,34.56,17.05,1279.42
2021,228,49913.01,0,386.58,0,30.4,14.9,1183.77
2021,229,49737.71,0,219,0,20.96,13.28,1481.33
2021,230,49561.11,0,382.09,0,26.19,11.63,973.18
2021,231,49383.27,0,367.89,0,26.42,12.49,1004.15
2021,232,49204.25,2.16,173.25,0,22.96,14.61,1662.48
2021,233,49024.08,0.87,233.92,0,21.99,13.8,1453.52
2021,234,48842.83,0.4,172.5,0,18.94,13.17,1513.39
2021,235,48660.53,0,374.94,0,22.23,8.99,654.37
2021,236,48477.25,0,486.23,0,29.71,7.66,379.04
2021,237,48293.01,0,431.72,0,26.35,9.72,439.94
2021,238,48107.88,1.69,358.6,0,24.87,12.33,574.02
2021,239,47921.88,0,276.96,0,22.6,13.45,884.78
2021,240,47735.08,0,483.84,0,31.14,8.36,399.06
2021,241,47547.49,0,458.42,0,30.22,10.36,460.52
2021,242,47359.18,0,340.11,0,21.74,9.77,582.12
2021,243,47170.17,0,298.68,0,20.81,10.6,713.49
