year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2021,182,55306.33,0,379.58,0,25.69,13.82,1089.5
2021,183,55262.02,0,455.64,0,28.24,12.98,874.79
2021,184,55213.52,0,501.67,0,30.44,12.08,738.61
2021,185,55160.89,0,475.04,0,29.17,12.53,812.54
2021,186,55104.16,0,503.44,0,30.39,11.43,707.43
2021,187,55043.38,0,543.01,0,33.9,10.11,577.62
2021,188,54978.58,0,394.09,0,25.61,12.4,949.27
2021,189,54909.83,0,461.21,0,26.44,9.91,673.71
2021,190,54837.18,0,540.81,0,32.18,8.51,475.03
2021,191,54760.67,0,477.96,0,30.49,12.07,692.5
2021,192,54680.38,0,497.83,0,31.18,10.97,596.01
2021,193,54596.35,0,468.08,0,29.29,11.2,662.84
2021,194,54508.64,0,493.49,0,31.26,10.98,603.84
2021,195,54417.33,0,427.34,0,28.9,12.59,801.09
2021,196,54322.47,0,396.75,0,25.88,11.2,806.94
2021,197,54224.13,0,391.21,0,24.23,9.99,768.05
2021,198,54122.37,0,463.68,0,27.25,9.07,600.58
2021,199,54017.27,0,486.95,0,30.12,10,588.06
2021,200,53908.9,0,436.07,0,28.53,11.69,750.76
2021,201,53797.32,0,410.42,0,25.68,10.45,754.33
2021,202,53682.6,0,335.77,0,21.22,9.59,866.48
2021,203,53564.82,0,455.32,0,25.67,8.11,590.33
2021,204,53444.05,0,495.78,0,29.24,8.41,530.04
2021,205,53320.35,0,512.6,0,32.22,9.56,478.3
2021,206,53193.81,0,474.87,0,31.05,11.59,562.74
2021,207,53064.49,0,478.45,0,31.1,11.35,549.69
2021,208,52932.47,0,352.42,0,26.79,14.01,949.04
2021,209,52797.81,0,475.21,0,31.69,12.23,587.33
2021,210,52660.6,0,485.97,0,33.99,13.4,601.36
2021,211,52520.9,0,441.69,0,33.26,15.71,691.28
2021,212,52378.78,0,280.72,0,28.25,18.1,1263.31
2021,213,52234.31,0,429.41,0,33.01,16.22,692.81
2021,214,52087.57,0,486.81,0,34.88,13.89,590.3
2021,215,51938.62,0,436.61,0,32.35,15.1,642.03
2021,216,51787.53,0,476.15,0,33.51,13.38,569.96
2021,217,51634.37,0,257.87,0,23.44,14.46,1031.77
2021,218,51479.21,0,295.71,0,24.05,13.77,821.97
2021,219,51322.11,0,386.39,0,27.49,13.48,573.73
2021,220,51163.13,0,320.34,0,19.91,9.1,595.54
2021,221,51002.35,0,503.85,0,28.09,6.49,348.02
2021,222,50839.81,0,496.94,0,31.87,10.26,457.49
2021,223,50675.6,0,493.38,0,36.9,14.64,622.09
2021,224,50509.76,0,459.02,0,35.79,16.65,713.61
2021,225,50342.36,0,443.71,0,34.96,16.84,722.68
2021,226,50173.45,0,431,0,34.07,16.75,718.19
2021,227,50003.09,0,426.16,0,33.06,16,682.75
2021,228,49831.34,0,423.07,0,29.83,13.23,563.83
2021,229,49658.25,0,169.27,0,15.11,9.46,976.87
2021,230,49483.87,0,404.38,0,23.98,9.04,419.1
2021,231,49308.27,0,377.06,0,24.31,10.71,472.24
2021,232,49131.49,0,226.66,0,19.1,11.48,736.48
2021,233,48953.57,0,262.6,0,18.72,10.02,539.4
2021,234,48774.57,0,293.31,0,18.09,8.47,430.85
2021,235,48594.54,0,436.52,0,21.22,4.95,310.55
2021,236,48413.53,0,475.01,0,24.49,4.82,307.42
2021,237,48231.57,0,456.57,0,25.3,7.08,363.33
2021,238,48048.72,0,370.24,0,21.7,8.77,410.93
2021,239,47865.01,0,351.83,0,20.89,8.92,415.37
2021,240,47680.49,0,489.43,0,27.47,5.21,316.55
2021,241,47495.2,0,468.42,0,28.65,8.4,399.97
2021,242,47309.19,0,321.2,0,19.32,8.42,400.67
2021,243,47122.48,0,357.49,0,19.31,6.83,356.71
