year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2021,182,55515.64,0,206.93,0,22.59,16.56,1883.58
2021,183,55470.45,0,383.15,0,28.72,16.61,1533.36
2021,184,55421,0,457.07,0,29.71,14.16,1178.91
2021,185,55367.33,0,454.89,0,29.39,13.93,1168.87
2021,186,55309.49,0,468.37,0,29.75,13.26,1096.73
2021,187,55247.51,0,499.58,0,31.64,12.37,978.15
2021,188,55181.44,0,314.92,0,24.29,14.58,1506.89
2021,189,55111.35,0,399.71,0,25.64,12.66,1184.4
2021,190,55037.27,0,496.85,0,31.19,11.91,941.67
2021,191,54959.28,0,446.19,0,30.36,14.26,1187.11
2021,192,54877.42,0,475.85,0,29.85,11.73,970.95
2021,193,54791.76,0,453.75,0,29.63,12.75,1073.42
2021,194,54702.37,0,444.37,0,28.89,12.33,1065.21
2021,195,54609.29,0,419.4,0,27.85,12.51,1124.25
2021,196,54512.61,0,380.34,0,26.42,12.91,1229.09
2021,197,54412.39,0,364.65,0,25.26,12.6,1239.46
2021,198,54308.69,0,409.22,0,27.64,12.83,1169
2021,199,54201.6,0,463.58,0,30.06,11.87,1004.24
2021,200,54091.17,0,444.84,0,30.62,13.44,1138.68
2021,201,53977.48,0,352.29,0,26.58,14.41,1409.34
2021,202,53860.6,0,338.11,0,23.58,12.34,1279.46
2021,203,53740.61,0,444.97,0,26.99,10.58,972.71
2021,204,53617.58,0,468.26,0,29.35,11.08,951.11
2021,205,53491.58,0,478.43,0,32.18,12.84,960.45
2021,206,53362.69,0,450.99,0,31.9,14.43,1101.4
2021,207,53230.98,0,458.66,0,31.24,13.47,1029.93
2021,208,53096.52,0,430.11,0,31.04,15.09,1199.65
2021,209,52959.4,0,480.94,0,33.79,14.22,1026.9
2021,210,52819.67,0,485.05,0,36.01,15.38,1083.94
2021,211,52677.43,0,378.92,0,31.28,17.49,1480.88
2021,212,52532.73,0,231.76,0,27.98,19.85,2200.06
2021,213,52385.65,0,401.04,0,31.73,16.69,1358.97
2021,214,52236.26,0,462.73,0,33.13,14.31,1014.63
2021,215,52084.64,0,407.98,0,31.85,16.34,1283.76
2021,216,51930.85,0,471.19,0,34.17,14.29,995.59
2021,217,51774.96,0,344.07,0,28.11,15.92,1398.75
2021,218,51617.04,0,293.32,0,26.8,16.6,1580.84
2021,219,51457.16,0,379.42,0,28.11,14.38,1174.27
2021,220,51295.38,0,376.64,0,25.22,12,1030.11
2021,221,51131.77,0,452.46,0,28.78,11.13,830.59
2021,222,50966.39,0,468.82,0,32.82,13.25,895.72
2021,223,50799.31,0,475.23,0,38.43,16.82,1068.19
2021,224,50630.59,0,456.2,0,38.96,18.53,1233.68
2021,225,50460.29,0,404.24,0,34.94,18.55,1403
2021,226,50288.46,0,385.11,0,33.3,18.05,1426.85
2021,227,50115.17,0,419.86,0,34.39,16.89,1239.84
2021,228,49940.47,0,392.7,0,30.17,14.75,1157.22
2021,229,49764.42,0,221.82,0,21.22,13.54,1498.41
2021,230,49587.08,0,384.52,0,26.12,11.78,986.46
2021,231,49408.49,0,367.43,0,26.5,12.87,1050.2
2021,232,49228.7,1.31,233.22,0,22.67,14.5,1512.43
2021,233,49047.78,0,226.61,0,21.76,13.96,1495.8
2021,234,48865.77,0.81,181.77,0,19.07,13.05,1501.93
2021,235,48682.72,0,382.08,0,22.25,8.95,683.04
2021,236,48498.67,0,493.17,0,29.72,8.02,389.21
2021,237,48313.67,0,432.84,0,26.11,9.96,447.61
2021,238,48127.76,0.92,346.11,0,24.5,12.75,674.57
2021,239,47941,0,279.72,0,22.57,13.49,919.13
2021,240,47753.42,0,490.49,0,30.92,8.81,412.03
2021,241,47565.07,0,467.69,0,30.19,10.45,463.58
2021,242,47375.98,0,340.76,0,21.75,10.04,623.85
2021,243,47186.19,0,306.95,0,20.65,10.35,718.55
