year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2021,182,55462.92,0,203.97,0,20.65,15.16,1721.94
2021,183,55417.96,0,389.46,0,26.78,14.99,1652.11
2021,184,55368.75,0,461.29,0,28.28,13.03,1360.39
2021,185,55315.34,0,456.14,0,27.99,12.99,1365.6
2021,186,55257.78,0,474.58,0,28.58,12.19,1272.96
2021,187,55196.1,0,511.4,0,31.1,11.02,1128.39
2021,188,55130.35,0,328.11,0,22.81,13.1,1506.94
2021,189,55060.6,0,407.66,0,24.37,11.47,1305.52
2021,190,54986.88,0,509.45,0,30.15,10.15,1054.49
2021,191,54909.27,0,443,0,28.85,13.31,1378.55
2021,192,54827.8,0,475.25,0,28.54,10.88,1145.78
2021,193,54742.56,0,448.44,0,27.96,11.87,1257.12
2021,194,54653.59,0,446.26,0,27.66,11.44,1227.14
2021,195,54560.96,0,417.95,0,26.39,11.55,1276.94
2021,196,54464.73,0,380.71,0,24.66,11.58,1333.49
2021,197,54364.99,0,380.21,0,23.62,10.75,1269.97
2021,198,54261.78,0,428.87,0,26.08,10.71,1201.52
2021,199,54155.19,0,463.02,0,28.53,10.77,1156.54
2021,200,54045.28,0,434.16,0,28.41,12.32,1315.24
2021,201,53932.12,0,357.22,0,24.47,12.52,1450.2
2021,202,53815.79,0,319.74,0,21.27,11.17,1326.7
2021,203,53696.35,0,447.12,0,25.17,9.08,1070.55
2021,204,53573.89,0,473.32,0,27.97,9.7,1070.67
2021,205,53448.48,0,476.26,0,30.65,11.63,1162.21
2021,206,53320.18,0,440.83,0,30.06,13.41,1329.18
2021,207,53189.07,0,446.88,0,29.4,12.57,1256.86
2021,208,53055.23,0,417.07,0,29.21,14.14,1436.04
2021,209,52918.72,0,473.03,0,32.16,13.24,1263.25
2021,210,52779.63,0,471.66,0,34.02,14.55,1365.93
2021,211,52638.03,0,381.05,0,30.73,16.89,1730.05
2021,212,52493.98,0,242,0,27.24,19,2195.79
2021,213,52347.56,0,384.16,0,30.84,16.65,1701.66
2021,214,52198.84,0,462.03,0,33.49,14.35,1298.75
2021,215,52047.89,0,381.92,0,30.26,16.16,1624.77
2021,216,51894.78,0,454.29,0,32.47,13.91,1284.64
2021,217,51739.58,0,285.35,0,24.49,14.97,1690.8
2021,218,51582.35,0,263.26,0,24.43,15.67,1779.86
2021,219,51423.17,1.87,368.93,0,26.44,13.55,1367.12
2021,220,51262.1,0,357.68,0,22.41,10.53,1165.52
2021,221,51099.2,0,464.36,0,27.36,9.29,921.62
2021,222,50934.54,0,456.93,0,30.88,12.56,1130.05
2021,223,50768.18,0,462.46,0,36.71,16.32,1386.01
2021,224,50600.19,0,436.77,0,37.31,18.46,1638.92
2021,225,50430.61,0,386.25,0,33.59,18.44,1778.27
2021,226,50259.52,0,376.75,0,32.27,17.72,1733.41
2021,227,50086.97,0,398.65,0,32.65,16.78,1590.61
2021,228,49913.01,1.44,394.28,0,28.2,13.26,1295.51
2021,229,49737.71,0,196.92,0,17.39,11.17,1326.58
2021,230,49561.11,0,385.78,0,24.13,10.35,1087.21
2021,231,49383.27,0,366.76,0,24.08,11.14,1134.9
2021,232,49204.25,2.34,159.82,0,19.97,13.04,1501.37
2021,233,49024.08,1.56,226.84,0,19.23,11.99,1400.6
2021,234,48842.83,0.89,189.62,0,16.3,10.54,1272.77
2021,235,48660.53,0,390.66,0,20.34,7.23,794.15
2021,236,48477.25,0,480.18,0,27.18,7.2,575.67
2021,237,48293.01,0,424.52,0,24.33,9.09,684.6
2021,238,48107.88,2.49,253.71,0,22.14,11,1067.67
2021,239,47921.88,0,301.29,0,20.48,11.11,1011.12
2021,240,47735.08,0,487.01,0,28.97,7.54,493.64
2021,241,47547.49,0,452.89,0,28.07,10.09,641.24
2021,242,47359.18,0,313.02,0,18.74,8.71,864.27
2021,243,47170.17,0,314.7,0,18.83,8.75,865.49
