year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2021,182,55280.45,0,447.86,0,26.23,11.52,940.85
2021,183,55236.25,0,482.28,0,27.21,10.62,834.47
2021,184,55187.87,0,517.37,0,29.37,10,743.9
2021,185,55135.37,0,496.66,0,27.91,10.08,783.24
2021,186,55078.78,0,522.66,0,29.64,9.25,700.92
2021,187,55018.14,0,541.73,0,32.99,9.61,676.52
2021,188,54953.5,0,422.74,0,25.1,10.61,919.15
2021,189,54884.92,0,479.42,0,25.84,8.16,688.38
2021,190,54812.44,0,551.1,0,31.77,6.8,514.02
2021,191,54736.12,0,485.68,0,29.38,10.39,735.72
2021,192,54656.01,0,513.93,0,30.3,8.72,607.36
2021,193,54572.18,0,472.43,0,28.21,9.72,716.66
2021,194,54484.69,0,512.87,0,31.17,9.07,619.92
2021,195,54393.59,0,443.71,0,27.87,10.48,798.87
2021,196,54298.95,0,420.64,0,25.07,8.97,772.89
2021,197,54200.84,0,405.72,0,22.54,7.44,732.97
2021,198,54099.33,0,463.53,0,25.98,7.54,648.19
2021,199,53994.48,0,495.62,0,29.3,8.25,622.24
2021,200,53886.36,0,433.02,0,26.96,10.08,805.11
2021,201,53775.03,0,432.96,0,24.75,8.09,720.78
2021,202,53660.58,0,350.11,0,19.51,7.07,807.39
2021,203,53543.07,0,467.12,0,24.68,6.06,595.41
2021,204,53422.58,0,497.6,0,27.57,6.4,562.03
2021,205,53299.17,0,507.25,0,31.46,9.01,579.08
2021,206,53172.92,0,470.14,0,29.83,10.37,662.74
2021,207,53043.89,0,480.78,0,30.41,10.06,632.33
2021,208,52912.17,0,312.39,0,23.63,12.25,1089.45
2021,209,52777.82,0,461.98,0,30.07,11.12,711.76
2021,210,52640.92,0,485.55,0,33.59,12.53,720.16
2021,211,52501.53,0,435.5,0,32.51,14.84,863.33
2021,212,52359.73,0,271.11,0,27.9,17.81,1475.56
2021,213,52215.58,0,432.05,0,32.46,15.1,804.84
2021,214,52069.17,0,474.2,0,33.26,13.27,599.67
2021,215,51920.55,0,441.06,0,31.88,14.06,704.85
2021,216,51769.79,0,479.31,0,32.82,12.34,563.28
2021,217,51616.97,0,305.26,0,23.26,12.35,932.15
2021,218,51462.15,0,308.05,0,22.48,11.57,841.12
2021,219,51305.39,0,393.48,0,25.52,10.98,618.89
2021,220,51146.76,0,334.89,0,18.45,6.91,607.84
2021,221,50986.33,0,517.45,0,27.86,5,311.73
2021,222,50824.15,0,500.57,0,31,9.41,430.25
2021,223,50660.29,0,491.77,0,36,14.28,606.83
2021,224,50494.8,0,446.93,0,34.45,16.26,695.04
2021,225,50327.76,0,440.93,0,34.73,16.78,719.97
2021,226,50159.21,0,431.31,0,32.68,15.41,695.27
2021,227,49989.21,0,418.76,0,31.62,15,715.11
2021,228,49817.83,0,437.09,0,28.77,11.36,527.48
2021,229,49645.1,0,159.06,0,12.84,7.56,994.41
2021,230,49471.1,0,431.38,0,22.55,6.18,380.64
2021,231,49295.86,0,388.77,0,22.78,8.7,427.55
2021,232,49119.45,0,238.49,0,17.36,9.29,791
2021,233,48941.9,0,284.12,0,17.08,7.57,575.53
2021,234,48763.28,0,349.47,0,17.65,5.79,407.14
2021,235,48583.63,0,458.14,0,20.22,2.68,261.61
2021,236,48402.99,0,474.24,0,23.71,4.57,301.74
2021,237,48221.4,0,440.4,0,22.43,5.82,331.31
2021,238,48038.93,0,361.52,0,20.31,7.89,385.44
2021,239,47855.6,0,392.35,0,20.1,6.28,342.57
2021,240,47671.46,0,490.07,0,25.91,4.46,299.33
2021,241,47486.55,0,460.3,0,27.24,8.31,397.53
2021,242,47300.92,0,332.53,0,17.95,6.63,351.51
2021,243,47114.59,0,399.71,0,18.01,3.5,278.45
