year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2021,182,55462.92,0,218.01,0,20.95,15,1704.35
2021,183,55417.96,0,391.3,0,26.76,14.81,1636.97
2021,184,55368.75,0,462.77,0,28.33,12.84,1348.1
2021,185,55315.34,0,454.34,0,27.96,12.9,1366.34
2021,186,55257.78,0,473.07,0,28.59,12.11,1273.86
2021,187,55196.1,0,509.06,0,31.17,11.06,1138.87
2021,188,55130.35,0,331.31,0,22.92,13,1496.99
2021,189,55060.6,0,409.82,0,24.46,11.33,1294.83
2021,190,54986.88,0,508.89,0,30.21,10,1048.99
2021,191,54909.27,0,443,0,28.84,13.13,1366.55
2021,192,54827.8,0,473.82,0,28.61,10.85,1147.23
2021,193,54742.56,0,446.38,0,27.96,11.81,1257.49
2021,194,54653.59,0,445.37,0,27.78,11.42,1229.22
2021,195,54560.96,0,414.9,0,26.42,11.59,1286.12
2021,196,54464.73,0,379.38,0,24.63,11.5,1330.7
2021,197,54364.99,0,378.76,0,23.58,10.66,1266.94
2021,198,54261.78,0,428.62,0,26.08,10.59,1194.79
2021,199,54155.19,0,461.81,0,28.51,10.68,1153.98
2021,200,54045.28,0,431.11,0,28.26,12.21,1313.7
2021,201,53932.12,0,358.76,0,24.39,12.27,1427.04
2021,202,53815.79,0,320.88,0,21.21,10.97,1309.6
2021,203,53696.35,0,446.68,0,25.05,8.83,1056.71
2021,204,53573.89,0,473.13,0,27.98,9.53,1062.52
2021,205,53448.48,0,474.28,0,30.67,11.55,1164.55
2021,206,53320.18,0,439.14,0,30,13.27,1324.97
2021,207,53189.07,0,444.52,0,29.37,12.5,1258.58
2021,208,53055.23,0,410.66,0,29,14.1,1447.97
2021,209,52918.72,0,469.78,0,32.04,13.14,1264.83
2021,210,52779.63,0,467.88,0,33.93,14.54,1376.08
2021,211,52638.03,0,380.52,0,30.91,16.91,1733.32
2021,212,52493.98,0,243.17,0,27.37,18.98,2193.21
2021,213,52347.56,0,382.92,0,30.95,16.66,1701.17
2021,214,52198.84,0,460.17,0,33.57,14.38,1298.4
2021,215,52047.89,0,381.76,0,30.38,16.13,1616.67
2021,216,51894.78,0,451,0,32.39,13.91,1285.15
2021,217,51739.58,0,280.63,0,24.29,14.85,1681.25
2021,218,51582.35,0,260.06,0,24.25,15.53,1763.32
2021,219,51423.17,2.21,271.51,0,26.47,13.52,1520.51
2021,220,51262.1,0,352.55,0,22.08,10.35,1149.63
2021,221,51099.2,0,464.87,0,27.34,9.09,897.13
2021,222,50934.54,0,456.58,0,30.87,12.46,1108.03
2021,223,50768.18,0,459.95,0,36.64,16.36,1375.38
2021,224,50600.19,0,433.28,0,37.08,18.45,1625.09
2021,225,50430.61,0,385.97,0,33.61,18.38,1752.39
2021,226,50259.52,0,376.86,0,32.31,17.67,1708.14
2021,227,50086.97,0,396.17,0,32.55,16.75,1575.02
2021,228,49913.01,2.23,289.36,0,28.16,13.24,1457.12
2021,229,49737.71,0,193.93,0,17.1,10.94,1306.66
2021,230,49561.11,0,384.74,0,24.03,10.23,1068.51
2021,231,49383.27,0,364.69,0,23.94,11.04,1115.27
2021,232,49204.25,2.5,157.71,0,19.78,12.9,1486.97
2021,233,49024.08,1.84,225.53,0,19.04,11.79,1382.85
2021,234,48842.83,1.03,190.69,0,16.25,10.43,1262.81
2021,235,48660.53,0,394.07,0,20.29,6.94,769.64
2021,236,48477.25,0,476.45,0,26.83,7.14,579.43
2021,237,48293.01,0,425.49,0,24.35,8.96,677.2
2021,238,48107.88,2.98,255.36,0,22.03,10.71,1045.58
2021,239,47921.88,0,302.12,0,20.37,10.9,1001.34
2021,240,47735.08,0,485.4,0,28.78,7.38,495.49
2021,241,47547.49,0,450.83,0,28.03,10.07,649.14
2021,242,47359.18,0,311.4,0,18.69,8.65,867.7
2021,243,47170.17,0,314.54,0,18.74,8.61,862.13
