year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2021,182,55462.92,0,197.2,0,21.3,15.78,1791.76
2021,183,55417.96,0,382.5,0,27.53,15.6,1669.11
2021,184,55368.75,0,457.92,0,28.86,13.3,1332.34
2021,185,55315.34,0,451.02,0,28.52,13.31,1345.62
2021,186,55257.78,0,469.55,0,29.01,12.43,1245.8
2021,187,55196.1,0,508.68,0,31.53,11.11,1085.94
2021,188,55130.35,0,313.01,0,23.23,13.71,1567.44
2021,189,55060.6,0,399.8,0,24.83,11.88,1304.61
2021,190,54986.88,0,505.92,0,30.6,10.35,1020.74
2021,191,54909.27,0,442.93,0,29.47,13.48,1334.84
2021,192,54827.8,0,473.48,0,29.14,11.1,1111.26
2021,193,54742.56,0,448.6,0,28.65,12.07,1218.86
2021,194,54653.59,0,441.74,0,28.03,11.63,1197.48
2021,195,54560.96,0,416.43,0,26.95,11.78,1248.34
2021,196,54464.73,0,376.62,0,25.31,12.04,1331.21
2021,197,54364.99,0,374.04,0,24.32,11.34,1282.3
2021,198,54261.78,0,425.67,0,26.74,11.12,1188.64
2021,199,54155.19,0,460.82,0,29.11,11.04,1128.34
2021,200,54045.28,0,436.73,0,29.25,12.54,1275.53
2021,201,53932.12,0,349.95,0,25.11,13.12,1470.52
2021,202,53815.79,0,315.99,0,22.15,11.84,1387.29
2021,203,53696.35,0,445.33,0,25.85,9.43,1052.8
2021,204,53573.89,0,473.41,0,28.71,9.94,1039.61
2021,205,53448.48,0,476.49,0,31.3,11.76,1112.32
2021,206,53320.18,0,442.14,0,30.79,13.63,1278.64
2021,207,53189.07,0,447.33,0,30.03,12.76,1208.03
2021,208,53055.23,0,421.17,0,30.15,14.45,1388.17
2021,209,52918.72,0,473.84,0,32.81,13.4,1205.79
2021,210,52779.63,0,471.97,0,34.57,14.66,1300.14
2021,211,52638.03,0,375.74,0,30.82,16.97,1670.55
2021,212,52493.98,0,240.16,0,27.55,19.13,2213.72
2021,213,52347.56,0,381.44,0,31.26,16.9,1652.72
2021,214,52198.84,0,461.52,0,33.7,14.29,1218.38
2021,215,52047.89,0,383.35,0,30.79,16.31,1558.85
2021,216,51894.78,0,456.7,0,33.07,13.94,1207.67
2021,217,51739.58,0,291.89,0,25.32,15.28,1647.11
2021,218,51582.35,0,261.24,0,25.36,16.37,1814.66
2021,219,51423.17,1.38,365.13,0,27.5,14.39,1374.62
2021,220,51262.1,0,358.8,0,23.53,11.23,1158.86
2021,221,51099.2,0,459.68,0,27.97,9.78,898.04
2021,222,50934.54,0,457.01,0,31.54,12.77,1071.94
2021,223,50768.18,0,464.02,0,37.34,16.4,1296.06
2021,224,50600.19,0,440.71,0,38.11,18.53,1531.78
2021,225,50430.61,0,386.48,0,33.91,18.44,1684.32
2021,226,50259.52,0,378.39,0,32.89,17.89,1657.07
2021,227,50086.97,0,399.86,0,33.41,17.05,1525.27
2021,228,49913.01,1.17,386.36,0,28.98,14.04,1300.73
2021,229,49737.71,0,191.94,0,18.31,12.01,1402.81
2021,230,49561.11,0,381.42,0,24.86,10.91,1073.4
2021,231,49383.27,0,368.62,0,24.93,11.54,1094.86
2021,232,49204.25,2.26,161.75,0,21.04,13.73,1570.09
2021,233,49024.08,1.36,228.32,0,20.26,12.67,1464.64
2021,234,48842.83,0.67,179.09,0,17.1,11.47,1353.9
2021,235,48660.53,0,385.46,0,20.98,7.78,769.63
2021,236,48477.25,0,483.53,0,28.07,7.25,503.05
2021,237,48293.01,0,431.9,0,25.26,9.17,597.68
2021,238,48107.88,2.34,261.68,0,23.19,11.22,992.61
2021,239,47921.88,0,289.83,0,21.2,11.95,1017.77
2021,240,47735.08,0,488.9,0,29.86,7.66,430.78
2021,241,47547.49,0,456.8,0,28.86,10.09,560.28
2021,242,47359.18,0,315.84,0,19.63,9.16,820.94
2021,243,47170.17,0,304.66,0,19.58,9.56,865.93
