year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2021,182,55515.64,0,219.14,0,22.89,16.62,1799.96
2021,183,55470.45,0,393.64,0,28.72,16.64,1289.51
2021,184,55421,0,459.72,0,29.77,14.68,1001.68
2021,185,55367.33,0,467.72,0,29.56,13.98,946.63
2021,186,55309.49,0,474.44,0,29.78,13.58,910.19
2021,187,55247.51,0,500.96,0,31.56,13.05,823.79
2021,188,55181.44,0,342.92,0,24.9,14.52,1260.44
2021,189,55111.35,0,403.42,0,25.56,12.85,1015.32
2021,190,55037.27,0,493.3,0,30.97,12.8,812.61
2021,191,54959.28,0,453.73,0,30.37,14.5,984.44
2021,192,54877.42,0,481.39,0,29.89,12.11,805.28
2021,193,54791.76,0,459.1,0,29.69,13.15,901.23
2021,194,54702.37,0,451.49,0,29.07,12.7,894.65
2021,195,54609.29,0,422.89,0,27.99,12.98,970.66
2021,196,54512.61,0,390.35,0,26.46,12.97,1042.3
2021,197,54412.39,0,373,0,25.3,12.7,1067.14
2021,198,54308.69,0,403.73,0,27.51,13.47,1044.81
2021,199,54201.6,0,465.01,0,29.94,12.37,853.64
2021,200,54091.17,0,448.01,0,30.6,13.92,969.74
2021,201,53977.48,0,364.89,0,26.84,14.56,1210.8
2021,202,53860.6,0,356.34,0,23.71,12.11,1076.89
2021,203,53740.61,0,447.74,0,26.91,10.89,828.87
2021,204,53617.58,0,466.49,0,29.28,11.78,827.92
2021,205,53491.58,0,474.84,0,32.12,13.77,850.5
2021,206,53362.69,0,453.62,0,31.94,14.93,960.06
2021,207,53230.98,0,463.43,0,31.36,13.91,888.62
2021,208,53096.52,0,428.46,0,30.76,15.49,1061.44
2021,209,52959.4,0,480.27,0,33.7,14.97,904.1
2021,210,52819.67,0,484.4,0,36.01,16.32,959.83
2021,211,52677.43,0,392.42,0,32.23,18.27,1296.29
2021,212,52532.73,0,238.05,0,28.44,20.36,2057.86
2021,213,52385.65,0,415.61,0,31.67,16.51,1116.5
2021,214,52236.26,0,467.85,0,33.14,14.72,847.2
2021,215,52084.64,0,417.66,0,31.96,16.55,1077.22
2021,216,51930.85,0,475.52,0,34.29,14.88,837.57
2021,217,51774.96,0,353.73,0,28.59,16.42,1207.82
2021,218,51617.04,0.31,311.53,0,26.95,16.46,1330
2021,219,51457.16,0,390.55,0,27.82,14.1,963.88
2021,220,51295.38,0,384.67,0,25.06,11.91,869.32
2021,221,51131.77,0,451.39,0,28.65,11.66,714.34
2021,222,50966.39,0,469.96,0,32.85,13.92,759.63
2021,223,50799.31,0,477.21,0,38.41,17.59,897.94
2021,224,50630.59,0,462.83,0,38.91,18.9,1009.7
2021,225,50460.29,0,416.01,0,35.18,18.76,1159.53
2021,226,50288.46,0,396.5,0,33.32,18.08,1183.47
2021,227,50115.17,0,431.85,0,34.3,16.75,998.62
2021,228,49940.47,0,405.46,0,30.21,14.6,955.47
2021,229,49764.42,0,243.83,0,21.84,13.58,1328.06
2021,230,49587.08,0,391.46,0,26.36,12.02,851.81
2021,231,49408.49,0,376.39,0,26.85,13.12,907.26
2021,232,49228.7,1.26,248.75,0,22.88,14.39,1337.41
2021,233,49047.78,0,226.05,0,21.65,14.06,1398.21
2021,234,48865.77,0.55,192.01,0,19.45,13.21,1424.94
2021,235,48682.72,0,383.09,0,22.42,9.26,628.68
2021,236,48498.67,0,486.01,0,29.67,8.8,411.82
2021,237,48313.67,0,428.23,0,26.38,10.64,470.04
2021,238,48127.76,0.57,331.62,0,24.22,13.27,635.39
2021,239,47941,0,273.98,0,22.68,13.97,856.47
2021,240,47753.42,0,480.11,0,30.49,9.72,440.11
2021,241,47565.07,0,461.78,0,30.31,11.15,487.27
2021,242,47375.98,0,354.22,0,22.48,10.38,519.1
2021,243,47186.19,0,308.41,0,20.62,10.46,634.77
