year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2021,182,55410.47,0,212.62,0,21.72,15.48,1758.05
2021,183,55365.72,0,382.37,0,27.53,15.18,1547.44
2021,184,55316.75,0,455.23,0,29.11,12.97,1229.73
2021,185,55263.61,0,443.81,0,28.72,13.22,1269.68
2021,186,55206.32,0,460.22,0,29.18,12.39,1179.26
2021,187,55144.94,0,498.98,0,32.02,11.23,1030.22
2021,188,55079.52,0,322.6,0,23.73,13.44,1489.97
2021,189,55010.1,0,397.05,0,24.98,11.6,1214.91
2021,190,54936.74,0,497.56,0,30.84,10.13,940.25
2021,191,54859.5,0,438.01,0,29.6,13.15,1230.06
2021,192,54778.42,0,464.85,0,29.45,11.08,1042.9
2021,193,54693.58,0,437.28,0,28.72,12.03,1152.43
2021,194,54605.04,0,433.35,0,28.37,11.67,1134.22
2021,195,54512.85,0,404.03,0,27.2,11.99,1206.71
2021,196,54417.09,0,371.89,0,25.39,11.78,1248.1
2021,197,54317.81,0,370.65,0,24.4,11.02,1196.51
2021,198,54215.09,0,418.09,0,26.74,10.84,1107.56
2021,199,54109,0,448.36,0,29.07,10.92,1062.06
2021,200,53999.6,0,422.27,0,29.01,12.41,1207.88
2021,201,53886.98,0,352.6,0,25.1,12.47,1340.24
2021,202,53771.18,0,310.19,0,22.08,11.5,1337.45
2021,203,53652.31,0,433.03,0,25.47,8.98,975.79
2021,204,53530.41,0,466.52,0,28.93,9.59,954.43
2021,205,53405.57,0,463.44,0,31.37,11.73,1043.71
2021,206,53277.86,0,431.16,0,30.77,13.45,1182.88
2021,207,53147.35,0,433.66,0,30.04,12.73,1132.42
2021,208,53014.12,0,401.11,0,29.89,14.53,1330.17
2021,209,52878.24,0,457.57,0,32.63,13.45,1133.47
2021,210,52739.77,0,452.45,0,34.24,14.85,1239.45
2021,211,52598.81,0,372.93,0,31.62,17.2,1562.87
2021,212,52455.4,0,246.8,0,28.2,19.09,2130.26
2021,213,52309.64,0,372.95,0,31.63,17.03,1547.07
2021,214,52161.58,0,452.75,0,34.41,14.55,1114.35
2021,215,52011.3,0,370.6,0,30.96,16.48,1464.39
2021,216,51858.87,0,441.26,0,33.06,14.15,1120.24
2021,217,51704.35,0,265.42,0,24.65,15.24,1593.4
2021,218,51547.82,0,257.32,0,25.15,16,1668.14
2021,219,51389.33,2.08,265.16,0,27.84,14.37,1454.97
2021,220,51228.96,0,342.62,0,22.75,10.72,1054.9
2021,221,51066.77,0,454.77,0,27.88,9.27,772.45
2021,222,50902.83,0,448.94,0,31.47,12.62,946.08
2021,223,50737.19,0,449.92,0,37.22,16.77,1187.02
2021,224,50569.91,0,425.29,0,37.74,18.82,1410.65
2021,225,50401.07,0,379.09,0,34.09,18.56,1540.09
2021,226,50230.71,0,375.52,0,33.19,17.86,1493.48
2021,227,50058.89,0,389.66,0,33.25,17.03,1387.11
2021,228,49885.67,3.04,280.52,0,29.16,13.9,1376.01
2021,229,49711.11,0,184.28,0,17.57,11.31,1339.14
2021,230,49535.26,0,374.22,0,24.75,10.69,954.72
2021,231,49358.17,0,362.39,0,24.77,11.28,949.39
2021,232,49179.89,2.75,157.03,0,20.77,13.39,1535.92
2021,233,49000.48,1.57,222.98,0,19.81,12.18,1347.1
2021,234,48819.98,0.51,172.56,0,16.88,11.24,1333.44
2021,235,48638.45,0,385.17,0,20.87,7.2,649.15
2021,236,48455.92,0,466.41,0,27.19,7.27,444.81
2021,237,48272.45,0,428.08,0,25.65,9.04,511.59
2021,238,48088.08,3.1,261.87,0,22.95,10.47,881.6
2021,239,47902.85,0,282.14,0,20.87,11.57,954.6
2021,240,47716.81,0,475.92,0,29.47,7.33,389.39
2021,241,47529.99,0,443.71,0,28.88,10.19,523.56
2021,242,47342.44,0,312.51,0,19.68,8.95,763.94
2021,243,47154.21,0,294.33,0,19.44,9.46,829.02
