year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2021,182,55332.27,0,280.54,0,23.24,14.88,1560.11
2021,183,55287.85,0,423.49,0,28.01,14.23,1183.4
2021,184,55239.24,0,489.76,0,30.11,12.33,931.58
2021,185,55186.48,0,466.1,0,29.21,12.91,1011.56
2021,186,55129.61,0,483.58,0,29.82,12.05,927.54
2021,187,55068.68,0,528.43,0,33.33,10.46,757.64
2021,188,55003.73,0,360.26,0,24.68,12.95,1192.35
2021,189,54934.81,0,428.33,0,25.5,10.71,924.74
2021,190,54861.98,0,522.93,0,31.66,9.24,672.58
2021,191,54785.29,0,471.27,0,30.24,11.99,882.66
2021,192,54704.8,0,485.55,0,30.65,11.08,799.34
2021,193,54620.57,0,454.65,0,29.14,11.69,889.66
2021,194,54532.65,0,458.44,0,29.58,11.59,876.26
2021,195,54441.12,0,413.32,0,28.16,12.55,1018.31
2021,196,54346.04,0,380.36,0,25.56,11.62,1032.5
2021,197,54247.46,0,385.63,0,24.68,10.64,968.06
2021,198,54145.47,0,440.15,0,27.05,10.1,841.11
2021,199,54040.12,0,468.01,0,29.53,10.49,808.36
2021,200,53931.5,0,436.54,0,28.81,11.74,931.6
2021,201,53819.65,0,384.29,0,25.39,11.39,1018.23
2021,202,53704.67,0,324.5,0,21.87,10.7,1094.29
2021,203,53586.61,0,446.79,0,25.57,8.4,758.67
2021,204,53465.56,0,493.01,0,29.67,8.61,679.25
2021,205,53341.58,0,495.37,0,31.95,10.32,693.8
2021,206,53214.75,0,458.77,0,31.14,12.47,800.26
2021,207,53085.13,0,453.82,0,30.64,12.32,806.09
2021,208,52952.81,0,389.55,0,28.96,14.38,1064.52
2021,209,52817.85,0,469.12,0,32.37,12.98,806.24
2021,210,52680.33,0,469.34,0,33.93,14.14,859.15
2021,211,52540.31,0,421.17,0,32.82,16.15,1002.3
2021,212,52397.87,0,286.72,0,28.73,18.17,1547.2
2021,213,52253.08,0,392.77,0,32.35,17.02,1110.04
2021,214,52106.01,0,477.91,0,35.52,14.49,725.39
2021,215,51956.73,0,391.17,0,31.38,16.15,1037.76
2021,216,51805.31,0,456.79,0,33.4,14.06,764.15
2021,217,51651.81,0,237,0,23.5,15.17,1393.44
2021,218,51496.3,0,270.88,0,24.82,15.27,1252.23
2021,219,51338.86,4.44,271.14,0,28.22,14.62,1137.43
2021,220,51179.53,0,313.48,0,21.1,10.37,872.23
2021,221,51018.4,0,481.26,0,28.17,8.12,463.55
2021,222,50855.52,0,476.44,0,31.67,11.5,563.26
2021,223,50690.95,0,476.24,0,37.18,15.94,710.01
2021,224,50524.75,0,450.45,0,37.2,17.78,861.12
2021,225,50356.99,0,408.4,0,34.66,18.14,1013.82
2021,226,50187.72,0,409.73,0,33.96,17.32,969.11
2021,227,50016.99,0,407.61,0,33.16,16.6,941.36
2021,228,49844.88,0,399.9,0,29.73,13.99,794.69
2021,229,49671.42,0,158.9,0,16,10.66,1235.72
2021,230,49496.68,0,390.17,0,24.63,10.23,570.26
2021,231,49320.7,0,386.17,0,24.78,10.74,473.27
2021,232,49143.55,0,216.81,0,20.05,12.73,938.62
2021,233,48965.26,0,240.1,0,19.38,11.4,800.69
2021,234,48785.89,0,218.26,0,17.32,10.28,827.34
2021,235,48605.49,0,417.77,0,21.15,6.1,338.17
2021,236,48424.09,0,468.89,0,25.73,6.39,345.53
2021,237,48241.76,0,451.75,0,26.21,8.22,394.86
2021,238,48058.53,3.1,290.1,0,22.52,8.73,409.77
2021,239,47874.44,0,310.72,0,20.89,10.76,474.12
2021,240,47689.54,0,485.14,0,28.98,6.52,348.79
2021,241,47503.87,0,459.45,0,29.04,9.44,431.15
2021,242,47317.48,0,314.41,0,19.64,9.1,436.74
2021,243,47130.39,0,316.19,0,19.6,9.03,433.99
